id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,""
19,Barcia,James,107.0,2001.0,MI,House of Representative,5.0,Democrat,1992.0,Male,16.0,Caucasian,10.0,1.0,2.0,2.0,1.0,
20,Barkley,Dean,107.0,2001.0,MN,Senate,State-Wide,Independent,Appointed,Male,8.0,Caucasian,1.0,0.0,1.0,1.0,1.0,
21,Barr,Bob,107.0,2001.0,GA,House of Representative,7.0,Republican,1994.0,Male,11.0,Caucasian,14.0,2.0,2.0,2.0,0.0,
22,Barrett,Thomas,107.0,2001.0,WI,House of Representative,5.0,Democrat,1992.0,Male,9.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
23,Bartlett,Roscoe,107.0,2001.0,MD,House of Representative,6.0,Republican,1992.0,Male,8.0,Caucasian,18.0,0.0,0.0,0.0,0.0,
24,Barton,Joe,107.0,2001.0,TX,House of Representative,6.0,Republican,1984.0,Male,30.0,Caucasian,10.0,3.0,1.0,0.0,0.0,
25,Bass,Charles,107.0,2001.0,NH,House of Representative,2.0,Republican,1994.0,Male,2.0,Caucasian,7.0,4.0,4.0,3.0,1.0,
26,Baucus,Max,107.0,2001.0,MT,Senate,State-Wide,Democrat,1978.0,Male,1.0,Caucasian,49.0,5.0,4.0,0.0,0.0,
27,Bayh,Evan,107.0,2001.0,IN,Senate,State-Wide,Democrat,1998.0,Male,10.0,Caucasian,23.0,3.0,3.0,1.0,0.0,
28,Becerra,Xavier,107.0,2001.0,CA,House of Representative,30.0,Democrat,1992.0,Male,52.0,Latino/a,16.0,0.0,1.0,1.0,1.0,
29,Bennett,Robert,107.0,2001.0,UT,Senate,State-Wide,Republican,1992.0,Male,3.0,Caucasian,9.0,5.0,2.0,1.0,1.0,
30,Bentsen,Ken,107.0,2001.0,TX,House of Representative,25.0,Democrat,1994.0,Male,30.0,Caucasian,13.0,0.0,1.0,1.0,1.0,
31,Bereuter,Doug,107.0,2001.0,NE,House of Representative,1.0,Republican,1978.0,Male,3.0,Caucasian,29.0,7.0,6.0,6.0,2.0,
32,Berkley,Shelley,107.0,2001.0,NV,House of Representative,1.0,Democrat,1998.0,Female,2.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
33,Berman,Howard,107.0,2001.0,CA,House of Representative,26.0,Democrat,1982.0,Male,52.0,Caucasian,7.0,0.0,1.0,1.0,0.0,
34,Berry,Marion,107.0,2001.0,AR,House of Representative,1.0,Democrat,1996.0,Male,4.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
35,Biden,Joseph,107.0,2001.0,DE,Senate,State-Wide,Democrat,1972.0,Male,1.0,Caucasian,32.0,11.0,11.0,5.0,0.0,
36,Biggert,Judy,107.0,2001.0,IL,House of Representative,13.0,Republican,1998.0,Female,20.0,Caucasian,16.0,0.0,0.0,0.0,0.0,
37,Bilirakis,Michael,107.0,2001.0,FL,House of Representative,9.0,Republican,1982.0,Male,23.0,Caucasian,24.0,4.0,5.0,5.0,2.0,
38,Bingaman,Jeff,107.0,2001.0,NM,Senate,State-Wide,Democrat,1982.0,Male,3.0,Caucasian,79.0,21.0,11.0,2.0,2.0,
39,Bishop,Sanford,107.0,2001.0,GA,House of Representative,2.0,Democrat,1992.0,Male,11.0,African-American,5.0,1.0,2.0,2.0,2.0,
40,Blagojevich,Rod,107.0,2001.0,IL,House of Representative,5.0,Democrat,1996.0,Male,20.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
41,Blumenauer,Earl,107.0,2001.0,OR,House of Representative,3.0,Democrat,1996.0,Male,5.0,Caucasian,9.0,1.0,1.0,1.0,1.0,
42,Blunt,Roy,107.0,2001.0,MO,House of Representative,7.0,Republican,1996.0,Male,9.0,Caucasian,9.0,3.0,3.0,3.0,2.0,
43,Boehlert,Sherwood,107.0,2001.0,NY,House of Representative,23.0,Republican,1982.0,Male,31.0,Caucasian,13.0,7.0,6.0,5.0,2.0,
44,Boehner,John,107.0,2001.0,OH,House of Representative,8.0,Republican,1990.0,Male,19.0,Caucasian,8.0,3.0,4.0,4.0,2.0,
45,Bond,Christopher,107.0,2001.0,MO,Senate,State-Wide,Republican,1986.0,Male,9.0,Caucasian,34.0,7.0,7.0,4.0,1.0,
46,Bonilla,Henry,107.0,2001.0,TX,House of Representative,23.0,Republican,1992.0,Male,30.0,Latino/a,4.0,2.0,2.0,1.0,1.0,
47,Bonior,David,107.0,2001.0,MI,House of Representative,10.0,Democrat,1976.0,Male,16.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
48,Bono Mack,Mary,107.0,2001.0,CA,House of Representative,44.0,Republican,1998.0,Female,52.0,Caucasian,9.0,2.0,1.0,0.0,0.0,
49,Boozman,John,107.0,2001.0,AR,House of Representative,3.0,Republican,2001.0,Male,4.0,Caucasian,2.0,1.0,2.0,2.0,1.0,
50,Borski,Robert,107.0,2001.0,PA,House of Representative,3.0,Democrat,1982.0,Male,21.0,Caucasian,7.0,0.0,1.0,1.0,1.0,
51,Boswell,Leonard,107.0,2001.0,IA,House of Representative,3.0,Democrat,1996.0,Male,5.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
52,Boucher,Rick,107.0,2001.0,VA,House of Representative,9.0,Democrat,1982.0,Male,11.0,Caucasian,4.0,0.0,0.0,0.0,0.0,
53,Boxer,Barbara,107.0,2001.0,CA,Senate,State-Wide,Democrat,1992.0,Female,52.0,Caucasian,51.0,10.0,6.0,2.0,0.0,
54,Boyd,Allen,107.0,2001.0,FL,House of Representative,2.0,Democrat,1996.0,Male,23.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
55,Brady,Robert,107.0,2001.0,PA,House of Representative,1.0,Democrat,1998.0,Male,21.0,Caucasian,5.0,1.0,4.0,4.0,3.0,
56,Brady,Kevin,107.0,2001.0,TX,House of Representative,8.0,Republican,1996.0,Male,30.0,Caucasian,17.0,0.0,1.0,1.0,1.0,
57,Breaux,John,107.0,2001.0,LA,Senate,State-Wide,Democrat,1986.0,Male,7.0,Caucasian,37.0,4.0,2.0,0.0,0.0,
58,Brown,Corrine,107.0,2001.0,FL,House of Representative,3.0,Democrat,1992.0,Female,23.0,African-American,6.0,0.0,2.0,2.0,0.0,
59,Brown,Sherrod,107.0,2001.0,OH,House of Representative,13.0,Democrat,1992.0,Male,19.0,Caucasian,14.0,3.0,3.0,3.0,3.0,
60,Brown,Henry,107.0,2001.0,SC,House of Representative,1.0,Republican,2000.0,Male,6.0,Caucasian,19.0,0.0,0.0,0.0,0.0,
61,Brownback,Sam,107.0,2001.0,KS,Senate,State-Wide,Republican,1996.0,Male,4.0,Caucasian,23.0,3.0,1.0,1.0,1.0,
62,Bryant,Ed,107.0,2001.0,TN,House of Representative,7.0,Republican,1994.0,Male,9.0,Caucasian,3.0,0.0,0.0,0.0,0.0,
63,Bunning,Jim,107.0,2001.0,KY,Senate,State-Wide,Republican,1998.0,Male,6.0,Caucasian,13.0,0.0,0.0,0.0,0.0,
64,Burns,Conrad,107.0,2001.0,MT,Senate,State-Wide,Republican,1988.0,Male,1.0,Caucasian,14.0,2.0,2.0,0.0,0.0,
65,Burr,Richard,107.0,2001.0,NC,House of Representative,5.0,Republican,1994.0,Male,12.0,Caucasian,9.0,0.0,1.0,1.0,0.0,
66,Burton,Dan,107.0,2001.0,IN,House of Representative,6.0,Republican,1982.0,Male,10.0,Caucasian,17.0,2.0,3.0,3.0,1.0,
67,Buyer,Steve,107.0,2001.0,IN,House of Representative,5.0,Republican,1992.0,Male,10.0,Caucasian,4.0,1.0,1.0,1.0,1.0,
68,Byrd,Robert,107.0,2001.0,WV,Senate,State-Wide,Democrat,1958.0,Male,3.0,Caucasian,6.0,4.0,4.0,0.0,0.0,
69,Callahan,Sonny,107.0,2001.0,AL,House of Representative,1.0,Republican,1984.0,Male,7.0,Caucasian,8.0,2.0,2.0,1.0,1.0,
70,Calvert,Ken,107.0,2001.0,CA,House of Representative,43.0,Republican,1992.0,Male,52.0,Caucasian,15.0,6.0,5.0,4.0,3.0,
71,Camp,Dave,107.0,2001.0,MI,House of Representative,4.0,Republican,1990.0,Male,16.0,Caucasian,25.0,0.0,1.0,1.0,0.0,
72,Campbell,Ben,107.0,2001.0,CO,Senate,State-Wide,Republican,1992.0,Male,6.0,American-Indian,42.0,18.0,15.0,12.0,7.0,
73,Cannon,Chris,107.0,2001.0,UT,House of Representative,3.0,Republican,1996.0,Male,3.0,Caucasian,17.0,6.0,4.0,4.0,1.0,
74,Cantor,Eric,107.0,2001.0,VA,House of Representative,7.0,Republican,2000.0,Male,11.0,Caucasian,9.0,0.0,2.0,2.0,1.0,
75,Cantwell,Maria,107.0,2001.0,WA,Senate,State-Wide,Democrat,2000.0,Female,9.0,Caucasian,17.0,4.0,2.0,2.0,0.0,
76,Capito,Shelley,107.0,2001.0,WV,House of Representative,2.0,Republican,2000.0,Female,3.0,Caucasian,6.0,1.0,1.0,0.0,0.0,
77,Capps,Lois,107.0,2001.0,CA,House of Representative,22.0,Democrat,1998.0,Female,52.0,Caucasian,20.0,2.0,1.0,0.0,0.0,
78,Capuano,Michael,107.0,2001.0,MA,House of Representative,8.0,Democrat,1998.0,Male,10.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
79,Cardin,Benjamin,107.0,2001.0,MD,House of Representative,3.0,Democrat,1986.0,Male,8.0,Caucasian,16.0,1.0,0.0,0.0,0.0,
80,Carnahan,Jean,107.0,2001.0,MO,Senate,State-Wide,Democrat,2000.0,Female,9.0,Caucasian,24.0,3.0,2.0,0.0,0.0,
81,Carper,Thomas,107.0,2001.0,DE,Senate,State-Wide,Democrat,2000.0,Male,1.0,Caucasian,28.0,0.0,0.0,0.0,0.0,
82,Carson,Brad,107.0,2001.0,OK,House of Representative,2.0,Democrat,2000.0,Male,6.0,American-Indian,8.0,2.0,2.0,2.0,0.0,
83,Carson,Julia,107.0,2001.0,IN,House of Representative,10.0,Democrat,1996.0,Female,10.0,African-American,9.0,0.0,1.0,1.0,0.0,
84,Castle,Michael,107.0,2001.0,DE,House of Representative,1.0,Republican,1992.0,Male,1.0,Caucasian,29.0,1.0,3.0,3.0,1.0,
85,Chabot,Steve,107.0,2001.0,OH,House of Representative,1.0,Republican,1994.0,Male,19.0,Caucasian,7.0,2.0,2.0,2.0,1.0,
86,Chafee,Lincoln,107.0,2001.0,RI,Senate,State-Wide,Republican,1999.0,Male,2.0,Caucasian,9.0,4.0,3.0,1.0,0.0,
87,Chambliss,Saxby,107.0,2001.0,GA,House of Representative,8.0,Republican,1994.0,Male,11.0,Caucasian,9.0,1.0,1.0,1.0,0.0,
88,Christensen,Donna,107.0,2001.0,VI,House of Representative,1.0,Democrat,1996.0,Female,1.0,African-American,11.0,2.0,2.0,2.0,1.0,
89,Clay,Wm.,107.0,2001.0,MO,House of Representative,1.0,Democrat,2000.0,Male,9.0,African-American,4.0,0.0,0.0,0.0,0.0,
90,Clayton,Eva,107.0,2001.0,NC,House of Representative,1.0,Democrat,1992.0,Female,12.0,African-American,7.0,0.0,0.0,0.0,0.0,
91,Cleland,Max,107.0,2001.0,GA,Senate,State-Wide,Democrat,1996.0,Male,11.0,Caucasian,43.0,7.0,4.0,0.0,0.0,
92,Clement,Bob,107.0,2001.0,TN,House of Representative,5.0,Democrat,1988.0,Male,9.0,Caucasian,7.0,0.0,0.0,0.0,0.0,
93,Clinton,Hillary,107.0,2001.0,NY,Senate,State-Wide,Democrat,2000.0,Female,31.0,Caucasian,78.0,14.0,13.0,6.0,0.0,
94,Clyburn,James,107.0,2001.0,SC,House of Representative,6.0,Democrat,1992.0,Male,6.0,African-American,4.0,1.0,1.0,1.0,0.0,
95,Coble,Howard,107.0,2001.0,NC,House of Representative,6.0,Republican,1984.0,Male,12.0,Caucasian,36.0,9.0,9.0,9.0,3.0,
96,Cochran,Thad,107.0,2001.0,MS,Senate,State-Wide,Republican,1978.0,Male,5.0,Caucasian,12.0,1.0,1.0,1.0,0.0,
97,Collins,Mac,107.0,2001.0,GA,House of Representative,3.0,Republican,1992.0,Male,11.0,Caucasian,24.0,0.0,0.0,0.0,0.0,
98,Collins,Susan,107.0,2001.0,ME,Senate,State-Wide,Republican,1996.0,Female,2.0,Caucasian,49.0,3.0,4.0,4.0,2.0,
99,Combest,Larry,107.0,2001.0,TX,House of Representative,19.0,Republican,1984.0,Male,30.0,Caucasian,3.0,2.0,2.0,2.0,2.0,
100,Condit,Gary,107.0,2001.0,CA,House of Representative,18.0,Democrat,1989.0,Male,52.0,Caucasian,8.0,1.0,1.0,0.0,0.0,
101,Conrad,Kent,107.0,2001.0,ND,Senate,State-Wide,Democrat,1986.0,Male,1.0,Caucasian,15.0,0.0,0.0,0.0,0.0,
102,Conyers,John,107.0,2001.0,MI,House of Representative,14.0,Democrat,1964.0,Male,16.0,African-American,23.0,2.0,0.0,0.0,0.0,
103,Cooksey,John,107.0,2001.0,LA,House of Representative,5.0,Republican,1996.0,Male,7.0,Latino/a,4.0,0.0,0.0,0.0,0.0,
104,Corzine,Jon,107.0,2001.0,NJ,Senate,State-Wide,Democrat,2000.0,Male,13.0,Caucasian,36.0,4.0,3.0,1.0,0.0,
105,Costello,Jerry,107.0,2001.0,IL,House of Representative,12.0,Democrat,1988.0,Male,20.0,Caucasian,5.0,2.0,2.0,2.0,1.0,
106,Cox,Christopher,107.0,2001.0,CA,House of Representative,47.0,Republican,1988.0,Male,52.0,Caucasian,13.0,2.0,2.0,2.0,2.0,
107,Coyne,William,107.0,2001.0,PA,House of Representative,14.0,Democrat,1980.0,Male,21.0,Caucasian,20.0,0.0,0.0,0.0,0.0,
108,Craig,Larry,107.0,2001.0,ID,Senate,State-Wide,Republican,1990.0,Male,2.0,Caucasian,29.0,3.0,2.0,1.0,0.0,
109,Cramer,Robert,107.0,2001.0,AL,House of Representative,5.0,Democrat,1990.0,Male,7.0,Caucasian,3.0,1.0,1.0,1.0,1.0,
110,Crane,Philip,107.0,2001.0,IL,House of Representative,8.0,Republican,1969.0,Male,20.0,Caucasian,32.0,4.0,4.0,3.0,1.0,
111,Crapo,Mike,107.0,2001.0,ID,Senate,State-Wide,Republican,1998.0,Male,2.0,Caucasian,22.0,4.0,4.0,4.0,1.0,
112,Crenshaw,Ander,107.0,2001.0,FL,House of Representative,4.0,Republican,2000.0,Male,23.0,Caucasian,3.0,0.0,1.0,1.0,1.0,
113,Crowley,Joseph,107.0,2001.0,NY,House of Representative,7.0,Democrat,1998.0,Male,31.0,Caucasian,11.0,1.0,0.0,0.0,0.0,
114,Cubin,Barbara,107.0,2001.0,WY,House of Representative,1.0,Republican,1994.0,Female,1.0,Caucasian,14.0,4.0,3.0,3.0,1.0,
115,Culberson,John,107.0,2001.0,TX,House of Representative,7.0,Republican,2000.0,Male,30.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
116,Cummings,Elijah,107.0,2001.0,MD,House of Representative,7.0,Democrat,1996.0,Male,8.0,African-American,2.0,0.0,0.0,0.0,0.0,
117,Cunningham,Randy,107.0,2001.0,CA,House of Representative,51.0,Republican,1990.0,Male,52.0,Caucasian,12.0,1.0,0.0,0.0,0.0,
118,Daschle,Thomas,107.0,2001.0,SD,Senate,State-Wide,Democrat,1986.0,Male,1.0,Caucasian,36.0,8.0,9.0,5.0,1.0,
119,Davis,Danny,107.0,2001.0,IL,House of Representative,7.0,Democrat,1996.0,Male,20.0,African-American,7.0,0.0,0.0,0.0,0.0,
120,Davis,Susan,107.0,2001.0,CA,House of Representative,49.0,Democrat,2000.0,Female,52.0,Caucasian,15.0,0.0,0.0,0.0,0.0,
121,Davis,Jim,107.0,2001.0,FL,House of Representative,11.0,Democrat,1996.0,Male,23.0,Caucasian,0.0,0.0,0.0,0.0,0.0,
122,Davis,Tom,107.0,2001.0,VA,House of Representative,11.0,Republican,1994.0,Male,11.0,Caucasian,25.0,6.0,5.0,5.0,3.0,
123,Davis,Jo,107.0,2001.0,VA,House of Representative,1.0,Republican,2000.0,Female,11.0,Caucasian,10.0,1.0,2.0,2.0,2.0,
124,Dayton,Mark,107.0,2001.0,MN,Senate,State-Wide,Democrat,2000.0,Male,8.0,Caucasian,11.0,0.0,0.0,0.0,0.0,
125,Deal,Nathan,107.0,2001.0,GA,House of Representative,9.0,Republican,1992.0,Male,11.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
126,DeFazio,Peter,107.0,2001.0,OR,House of Representative,4.0,Democrat,1986.0,Male,5.0,Caucasian,30.0,2.0,3.0,2.0,1.0,
127,DeGette,Diana,107.0,2001.0,CO,House of Representative,1.0,Democrat,1996.0,Female,6.0,Caucasian,12.0,0.0,0.0,0.0,0.0,
128,Delahunt,Bill,107.0,2001.0,MA,House of Representative,10.0,Democrat,1996.0,Male,10.0,Caucasian,6.0,1.0,0.0,0.0,0.0,
129,DeLauro,Rosa,107.0,2001.0,CT,House of Representative,3.0,Democrat,1990.0,Female,6.0,Caucasian,13.0,0.0,0.0,0.0,0.0,
130,DeLay,Tom,107.0,2001.0,TX,House of Representative,22.0,Republican,1984.0,Male,30.0,Caucasian,4.0,0.0,1.0,1.0,1.0,
131,DeMint,Jim,107.0,2001.0,SC,House of Representative,4.0,Republican,1998.0,Male,6.0,Caucasian,37.0,1.0,1.0,1.0,0.0,
132,Deutsch,Peter,107.0,2001.0,FL,House of Representative,20.0,Democrat,1992.0,Male,23.0,Caucasian,8.0,0.0,0.0,0.0,0.0,
133,DeWine,Mike,107.0,2001.0,OH,Senate,State-Wide,Republican,1994.0,Male,19.0,Caucasian,29.0,5.0,2.0,0.0,0.0,
134,Diaz-Balart,Lincoln,107.0,2001.0,FL,House of Representative,21.0,Republican,1992.0,Male,23.0,Latino/a,3.0,0.0,0.0,0.0,0.0,
135,Dicks,Norman,107.0,2001.0,WA,House of Representative,6.0,Democrat,1976.0,Male,9.0,Caucasian,5.0,0.0,0.0,0.0,0.0,
136,Dingell,John,107.0,2001.0,MI,House of Representative,16.0,Democrat,1955.0,Male,16.0,Caucasian,21.0,3.0,2.0,1.0,1.0,
137,Dodd,Christopher,107.0,2001.0,CT,Senate,State-Wide,Democrat,1980.0,Male,6.0,Caucasian,50.0,16.0,10.0,7.0,1.0,
138,Doggett,Lloyd,107.0,2001.0,TX,House of Representative,10.0,Democrat,1994.0,Male,30.0,Caucasian,10.0,1.0,1.0,0.0,0.0,
139,Domenici,Pete,107.0,2001.0,NM,Senate,State-Wide,Republican,1972.0,Male,3.0,Caucasian,38.0,2.0,2.0,0.0,0.0,
140,Dooley,Calvin,107.0,2001.0,CA,House of Representative,20.0,Democrat,1990.0,Male,52.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
141,Doolittle,John,107.0,2001.0,CA,House of Representative,4.0,Republican,1990.0,Male,52.0,Caucasian,9.0,3.0,3.0,2.0,0.0,
142,Dorgan,Byron,107.0,2001.0,ND,Senate,State-Wide,Democrat,1992.0,Male,1.0,Caucasian,36.0,9.0,5.0,1.0,0.0,
143,Doyle,Michael,107.0,2001.0,PA,House of Representative,18.0,Democrat,1994.0,Male,21.0,Caucasian,7.0,1.0,1.0,0.0,0.0,
144,Dreier,David,107.0,2001.0,CA,House of Representative,28.0,Republican,1980.0,Male,52.0,Caucasian,9.0,1.0,1.0,0.0,0.0,
145,Duncan,John,107.0,2001.0,TN,House of Representative,2.0,Republican,1988.0,Male,9.0,Caucasian,17.0,2.0,2.0,1.0,0.0,
146,Dunn,Jennifer,107.0,2001.0,WA,House of Representative,8.0,Republican,1992.0,Female,9.0,Caucasian,22.0,1.0,2.0,2.0,0.0,
147,Durbin,Richard,107.0,2001.0,IL,Senate,State-Wide,Democrat,1996.0,Male,20.0,Caucasian,56.0,8.0,6.0,4.0,2.0,
148,Edwards,Chet,107.0,2001.0,TX,House of Representative,11.0,Democrat,1990.0,Male,30.0,Caucasian,3.0,1.0,1.0,1.0,1.0,
149,Edwards,John,107.0,2001.0,NC,Senate,State-Wide,Democrat,1998.0,Male,12.0,Caucasian,23.0,2.0,1.0,0.0,0.0,
150,Ehlers,Vernon,107.0,2001.0,MI,House of Representative,3.0,Republican,1993.0,Male,16.0,Caucasian,12.0,5.0,5.0,4.0,2.0,
151,Ehrlich,Robert,107.0,2001.0,MD,House of Representative,2.0,Republican,1994.0,Male,8.0,Caucasian,2.0,0.0,0.0,0.0,0.0,
152,Emerson,Jo,107.0,2001.0,MO,House of Representative,8.0,Republican,1996.0,Female,9.0,Caucasian,15.0,0.0,0.0,0.0,0.0,
153,Engel,Eliot,107.0,2001.0,NY,House of Representative,17.0,Democrat,1988.0,Male,31.0,Caucasian,20.0,1.0,1.0,1.0,1.0,
154,English,Phil,107.0,2001.0,PA,House of Representative,21.0,Republican,1994.0,Male,21.0,Caucasian,46.0,0.0,1.0,1.0,0.0,
155,Ensign,John,107.0,2001.0,NV,Senate,State-Wide,Republican,2000.0,Male,2.0,Caucasian,15.0,3.0,3.0,1.0,0.0,
156,Enzi,Michael,107.0,2001.0,WY,Senate,State-Wide,Republican,1996.0,Male,1.0,Caucasian,19.0,2.0,2.0,1.0,0.0,
157,Eshoo,Anna,107.0,2001.0,CA,House of Representative,14.0,Republican,1992.0,Female,52.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
158,Etheridge,Bob,107.0,2001.0,NC,House of Representative,2.0,Republican,1996.0,Male,12.0,Caucasian,7.0,2.0,3.0,3.0,2.0,
159,Evans,Lane,107.0,2001.0,IL,House of Representative,17.0,Republican,1982.0,Male,20.0,Caucasian,20.0,7.0,1.0,1.0,0.0,
160,Everett,Terry,107.0,2001.0,AL,House of Representative,2.0,Republican,1992.0,Male,7.0,Caucasian,1.0,0.0,0.0,0.0,0.0,
161,Faleomavaega,Eni,107.0,2001.0,AS,House of Representative,1.0,Democrat,1988.0,Male,1.0,Asian-American,13.0,3.0,2.0,2.0,1.0,
162,Farr,Sam,107.0,2001.0,CA,House of Representative,17.0,Republican,1993.0,Male,52.0,Caucasian,6.0,0.0,1.0,1.0,1.0,
163,Fattah,Chaka,107.0,2001.0,PA,House of Representative,2.0,Republican,1994.0,Male,21.0,African-American,4.0,0.0,1.0,1.0,0.0,
164,Feingold,Russell,107.0,2001.0,WI,Senate,State-Wide,Democrat,1992.0,Male,9.0,Caucasian,52.0,6.0,3.0,1.0,0.0,
165,Feinstein,Dianne,107.0,2001.0,CA,Senate,State-Wide,Democrat,1992.0,Female,52.0,Caucasian,94.0,24.0,17.0,5.0,1.0,
166,Ferguson,Mike,107.0,2001.0,NJ,House of Representative,7.0,Republican,2000.0,Male,13.0,Caucasian,9.0,1.0,0.0,0.0,0.0,
167,Filner,Bob,107.0,2001.0,CA,House of Representative,50.0,Republican,1992.0,Male,52.0,Caucasian,22.0,1.0,0.0,0.0,0.0,
168,Fitzgerald,Peter,107.0,2001.0,IL,Senate,State-Wide,Republican,1998.0,Male,20.0,Caucasian,11.0,3.0,4.0,3.0,0.0,
169,Flake,Jeff,107.0,2001.0,AZ,House of Representative,1.0,Republican,2000.0,Male,6.0,Caucasian,9.0,2.0,1.0,1.0,0.0,
170,Fletcher,Ernie,107.0,2001.0,KY,House of Representative,6.0,Republican,1998.0,Male,6.0,Caucasian,10.0,0.0,0.0,0.0,0.0,
171,Foley,Mark,107.0,2001.0,FL,House of Representative,16.0,Republican,1994.0,Male,23.0,Caucasian,30.0,2.0,1.0,1.0,1.0,
172,Forbes,J.,107.0,2001.0,VA,House of Representative,4.0,Democrat,2001.0,Male,11.0,Caucasian,4.0,0.0,1.0,1.0,1.0,
173,Ford,Harold,107.0,2001.0,TN,House of Representative,9.0,Democrat,1996.0,Male,9.0,African-American,7.0,0.0,0.0,0.0,0.0,
174,Fossella,Vito,107.0,2001.0,NY,House of Representative,13.0,Republican,1997.0,Male,31.0,Caucasian,9.0,2.0,2.0,2.0,2.0,
175,Frank,Barney,107.0,2001.0,MA,House of Representative,4.0,Democrat,1980.0,Male,10.0,Caucasian,27.0,1.0,1.0,0.0,0.0,
176,Frelinghuysen,Rodney,107.0,2001.0,NJ,House of Representative,11.0,Republican,1994.0,Male,13.0,Caucasian,18.0,1.0,1.0,1.0,0.0,
177,Frist,William,107.0,2001.0,TN,Senate,State-Wide,Republican,1994.0,Male,9.0,Caucasian,36.0,6.0,6.0,4.0,1.0,
178,Frost,Martin,107.0,2001.0,TX,House of Representative,24.0,Democrat,1978.0,Male,30.0,Caucasian,6.0,0.0,0.0,0.0,0.0,
179,Gallegly,Elton,107.0,2001.0,CA,House of Representative,23.0,Republican,1986.0,Male,52.0,Caucasian,15.0,3.0,3.0,3.0,2.0,
