id,city,state,city_size,mode,n,percent,moe,state_abb,state_region
1673,Fort Worth city,Texas,Large,Bike,488.0,0.1,0.1,TX,South
1674,Fremont city,California,Large,Bike,371.0,0.4,0.2,CA,West
1675,Fresno city,California,Large,Bike,1533.0,0.8,0.2,CA,West
1676,Garland city,Texas,Large,Bike,77.0,0.1,0.1,TX,South
1677,Gilbert town,Arizona,Large,Bike,360.0,0.4,0.1,AZ,West
1678,Glendale city,Arizona,Large,Bike,778.0,0.8,0.3,AZ,West
1679,Greensboro city,North Carolina,Large,Bike,351.0,0.3,0.1,NC,South
1680,Henderson city,Nevada,Large,Bike,186.0,0.2,0.1,NV,West
1681,Hialeah city,Florida,Large,Bike,171.0,0.2,0.1,FL,South
1682,Houston city,Texas,Large,Bike,4220.0,0.4,0.1,TX,South
1683,Indianapolis city (balance),Indiana,Large,Bike,1617.0,0.4,0.1,IN,North Central
1684,Irvine city,California,Large,Bike,1769.0,1.7,0.3,CA,West
1685,Irving city,Texas,Large,Bike,174.0,0.2,0.1,TX,South
1686,Jacksonville city,Florida,Large,Bike,1676.0,0.4,0.1,FL,South
1687,Jersey City city,New Jersey,Large,Bike,582.0,0.5,0.2,NJ,Northeast
1688,Kansas City city,Missouri,Large,Bike,649.0,0.3,0.1,MO,North Central
1689,Laredo city,Texas,Large,Bike,43.0,0.0,0.1,TX,South
1690,Las Vegas city,Nevada,Large,Bike,1052.0,0.4,0.1,NV,West
1691,Lexington-Fayette urban county,Kentucky,Large,Bike,1286.0,0.9,0.2,KY,South
1692,Lincoln city,Nebraska,Large,Bike,2127.0,1.5,0.2,NE,North Central
1693,Long Beach city,California,Large,Bike,2217.0,1.1,0.2,CA,West
1694,Los Angeles city,California,Large,Bike,17244.0,1.0,0.1,CA,West
1695,Lubbock city,Texas,Large,Bike,539.0,0.5,0.2,TX,South
1696,Madison city,Wisconsin,Large,Bike,6793.0,5.1,0.5,WI,North Central
1697,Memphis city,Tennessee,Large,Bike,441.0,0.2,0.1,TN,South
1698,Mesa city,Arizona,Large,Bike,1802.0,0.9,0.2,AZ,West
1699,Miami city,Florida,Large,Bike,1237.0,0.7,0.2,FL,South
1700,Milwaukee city,Wisconsin,Large,Bike,2151.0,0.8,0.1,WI,North Central
1701,Minneapolis city,Minnesota,Large,Bike,8334.0,4.1,0.3,MN,North Central
1702,Modesto city,California,Large,Bike,661.0,0.8,0.3,CA,West
1703,Montgomery city,Alabama,Large,Bike,187.0,0.2,0.1,AL,South
1704,New Orleans city,Louisiana,Large,Bike,3135.0,2.1,0.2,LA,South
1705,New York city,New York,Large,Bike,28458.0,0.8,0.1,NY,Northeast
1706,Newark city,New Jersey,Large,Bike,251.0,0.2,0.1,NJ,Northeast
1707,Norfolk city,Virginia,Large,Bike,576.0,0.5,0.1,VA,South
1708,North Las Vegas city,Nevada,Large,Bike,179.0,0.2,0.1,NV,West
1709,Oakland city,California,Large,Bike,4346.0,2.4,0.3,CA,West
1710,Oklahoma City city,Oklahoma,Large,Bike,494.0,0.2,0.1,OK,South
1711,Omaha city,Nebraska,Large,Bike,393.0,0.2,0.1,NE,North Central
1712,Orlando city,Florida,Large,Bike,532.0,0.4,0.1,FL,South
1713,Oxnard city,California,Large,Bike,542.0,0.6,0.2,CA,West
1714,Philadelphia city,Pennsylvania,Large,Bike,11755.0,2.0,0.2,PA,Northeast
1715,Phoenix city,Arizona,Large,Bike,4640.0,0.7,0.1,AZ,West
1716,Pittsburgh city,Pennsylvania,Large,Bike,1893.0,1.3,0.2,PA,Northeast
1717,Plano city,Texas,Large,Bike,122.0,0.1,0.1,TX,South
1718,Portland city,Oregon,Large,Bike,18315.0,6.1,0.3,OR,West
1719,Raleigh city,North Carolina,Large,Bike,1175.0,0.6,0.2,NC,South
1720,Reno city,Nevada,Large,Bike,982.0,0.9,0.2,NV,West
1721,Richmond city,Virginia,Large,Bike,1960.0,2.1,0.3,VA,South
1722,Riverside city,California,Large,Bike,1126.0,0.9,0.2,CA,West
1723,Rochester city,New York,Large,Bike,1021.0,1.2,0.2,NY,Northeast
1724,Sacramento city,California,Large,Bike,4935.0,2.5,0.3,CA,West
1725,San Antonio city,Texas,Large,Bike,1011.0,0.2,0.1,TX,South
1726,San Bernardino city,California,Large,Bike,265.0,0.4,0.2,CA,West
1727,San Diego city,California,Large,Bike,5885.0,0.9,0.1,CA,West
1728,San Francisco city,California,Large,Bike,14833.0,3.4,0.2,CA,West
1729,San Jose city,California,Large,Bike,4023.0,0.9,0.1,CA,West
1730,Santa Ana city,California,Large,Bike,1629.0,1.1,0.2,CA,West
1731,Scottsdale city,Arizona,Large,Bike,1119.0,1.0,0.3,AZ,West
1732,Seattle city,Washington,Large,Bike,11970.0,3.4,0.2,WA,West
1733,Shreveport city,Louisiana,Large,Bike,63.0,0.1,0.1,LA,South
1734,Spokane city,Washington,Large,Bike,1130.0,1.2,0.3,WA,West
1735,St. Louis city,Missouri,Large,Bike,1150.0,0.8,0.2,MO,North Central
1736,St. Paul city,Minnesota,Large,Bike,1572.0,1.1,0.2,MN,North Central
1737,St. Petersburg city,Florida,Large,Bike,1381.0,1.2,0.2,FL,South
1738,Stockton city,California,Large,Bike,658.0,0.6,0.2,CA,West
1739,Tacoma city,Washington,Large,Bike,654.0,0.7,0.2,WA,West
1740,Tampa city,Florida,Large,Bike,2128.0,1.4,0.2,FL,South
1741,Toledo city,Ohio,Large,Bike,388.0,0.3,0.1,OH,North Central
1742,Tucson city,Arizona,Large,Bike,5527.0,2.4,0.2,AZ,West
1743,Tulsa city,Oklahoma,Large,Bike,657.0,0.4,0.1,OK,South
1744,Urban Honolulu CDP,Hawaii,Large,Bike,3070.0,1.8,0.2,HI,West
1745,Virginia Beach city,Virginia,Large,Bike,1629.0,0.7,0.2,VA,South
1746,Washington city,District of Columbia,Large,Bike,9347.0,3.1,0.2,NA,NA
1747,Wichita city,Kansas,Large,Bike,476.0,0.3,0.1,KS,North Central
1748,Winston-Salem city,North Carolina,Large,Bike,172.0,0.2,0.1,NC,South
1749,Aberdeen city,South Dakota,Small,Walk,618.0,4.4,1.0,SD,North Central
1750,Acworth city,Georgia,Small,Walk,112.0,1.1,1.5,GA,South
1751,Addison village,Illinois,Small,Walk,144.0,0.8,0.6,IL,North Central
1752,Adelanto city,California,Small,Walk,38.0,0.5,0.6,CA,West
1753,Adrian city,Michigan,Small,Walk,937.0,11.8,2.2,MI,North Central
1754,Agawam Town city,Massachusetts,Small,Walk,246.0,1.6,1.1,MA,Northeast
1755,Agoura Hills city,California,Small,Walk,223.0,2.2,1.6,CA,West
1756,Aiken city,South Carolina,Small,Walk,319.0,2.7,1.2,SC,South
1757,Alabaster city,Alabama,Small,Walk,38.0,0.2,0.2,AL,South
1758,Alameda city,California,Small,Walk,1452.0,3.9,0.8,CA,West
1759,Alamogordo city,New Mexico,Small,Walk,193.0,1.5,0.8,NM,West
1760,Albany city,Georgia,Small,Walk,1140.0,4.0,1.0,GA,South
1761,Albany city,New York,Small,Walk,4470.0,9.9,1.1,NY,Northeast
1762,Albany city,Oregon,Small,Walk,780.0,3.7,1.0,OR,West
1763,Albertville city,Alabama,Small,Walk,26.0,0.3,0.3,AL,South
1764,Alexandria city,Louisiana,Small,Walk,282.0,1.5,0.5,LA,South
1765,Algonquin village,Illinois,Small,Walk,56.0,0.4,0.3,IL,North Central
1766,Alhambra city,California,Small,Walk,734.0,1.8,0.4,CA,West
1767,Aliso Viejo city,California,Small,Walk,392.0,1.5,0.6,CA,West
1768,Allen city,Texas,Small,Walk,237.0,0.6,0.3,TX,South
1769,Allen Park city,Michigan,Small,Walk,114.0,1.0,0.5,MI,North Central
1770,Alliance city,Ohio,Small,Walk,266.0,3.0,1.2,OH,North Central
1771,Alpharetta city,Georgia,Small,Walk,497.0,1.7,0.9,GA,South
1772,Altamonte Springs city,Florida,Small,Walk,558.0,2.5,1.0,FL,South
1773,Alton city,Illinois,Small,Walk,151.0,1.4,0.8,IL,North Central
1774,Altoona city,Pennsylvania,Small,Walk,772.0,4.0,1.1,PA,Northeast
1775,Alvin city,Texas,Small,Walk,199.0,1.9,1.1,TX,South
1776,American Fork city,Utah,Small,Walk,193.0,1.9,0.7,UT,West
1777,Ames city,Iowa,Small,Walk,3382.0,10.5,1.3,IA,North Central
1778,Anderson city,Indiana,Small,Walk,953.0,4.4,0.9,IN,North Central
1779,Anderson city,South Carolina,Small,Walk,438.0,4.1,1.6,SC,South
1780,Andover city,Minnesota,Small,Walk,19.0,0.1,0.1,MN,North Central
1781,Ankeny city,Iowa,Small,Walk,144.0,0.6,0.3,IA,North Central
1782,Annapolis city,Maryland,Small,Walk,806.0,3.9,1.0,MD,South
1783,Anniston city,Alabama,Small,Walk,147.0,1.7,0.6,AL,South
1784,Apache Junction city,Arizona,Small,Walk,103.0,0.9,0.7,AZ,West
1785,Apex town,North Carolina,Small,Walk,201.0,1.1,0.7,NC,South
1786,Apopka city,Florida,Small,Walk,122.0,0.6,0.4,FL,South
1787,Apple Valley city,Minnesota,Small,Walk,172.0,0.6,0.3,MN,North Central
1788,Apple Valley town,California,Small,Walk,87.0,0.4,0.3,CA,West
1789,Appleton city,Wisconsin,Small,Walk,1391.0,3.8,0.7,WI,North Central
1790,Arcadia city,California,Small,Walk,304.0,1.2,0.5,CA,West
1791,Ardmore city,Oklahoma,Small,Walk,280.0,2.7,1.1,OK,South
1792,Arlington Heights village,Illinois,Small,Walk,582.0,1.6,0.5,IL,North Central
1793,Arnold city,Missouri,Small,Walk,93.0,0.9,0.6,MO,North Central
1794,Arvin city,California,Small,Walk,88.0,1.3,0.9,CA,West
1795,Asheboro city,North Carolina,Small,Walk,137.0,1.4,0.8,NC,South
1796,Asheville city,North Carolina,Small,Walk,1500.0,3.7,0.9,NC,South
1797,Ashland city,Kentucky,Small,Walk,444.0,5.5,1.7,KY,South
1798,Ashland city,Ohio,Small,Walk,628.0,7.2,1.7,OH,North Central
1799,Ashland city,Oregon,Small,Walk,880.0,9.8,2.1,OR,West
1800,Atascadero city,California,Small,Walk,98.0,0.7,0.6,CA,West
1801,Athens city,Alabama,Small,Walk,87.0,1.0,0.7,AL,South
1802,Athens city,Ohio,Small,Walk,3461.0,36.8,5.4,OH,North Central
1803,Atlantic City city,New Jersey,Small,Walk,2701.0,17.8,2.7,NJ,Northeast
1804,Attleboro city,Massachusetts,Small,Walk,535.0,2.4,0.9,MA,Northeast
1805,Atwater city,California,Small,Walk,103.0,1.1,0.6,CA,West
1806,Auburn city,Alabama,Small,Walk,1367.0,5.7,1.1,AL,South
1807,Auburn city,Maine,Small,Walk,392.0,3.4,1.1,ME,Northeast
1808,Auburn city,New York,Small,Walk,627.0,5.2,1.4,NY,Northeast
1809,Auburn city,Washington,Small,Walk,646.0,2.0,0.5,WA,West
1810,Auburn Hills city,Michigan,Small,Walk,341.0,3.1,1.4,MI,North Central
1811,Austin city,Minnesota,Small,Walk,594.0,5.2,1.5,MN,North Central
1812,Aventura city,Florida,Small,Walk,148.0,1.1,0.8,FL,South
1813,Avon city,Ohio,Small,Walk,47.0,0.5,0.5,OH,North Central
1814,Avon Lake city,Ohio,Small,Walk,58.0,0.6,0.4,OH,North Central
1815,Avondale city,Arizona,Small,Walk,391.0,1.2,0.7,AZ,West
1816,Azusa city,California,Small,Walk,1340.0,6.4,1.7,CA,West
1817,Bainbridge Island city,Washington,Small,Walk,621.0,6.1,1.8,WA,West
1818,Balch Springs city,Texas,Small,Walk,73.0,0.8,0.6,TX,South
1819,Baldwin Park city,California,Small,Walk,561.0,1.8,0.5,CA,West
1820,Ballwin city,Missouri,Small,Walk,302.0,1.9,0.8,MO,North Central
1821,Bangor city,Maine,Small,Walk,959.0,5.9,1.5,ME,Northeast
1822,Banning city,California,Small,Walk,101.0,1.1,0.8,CA,West
1823,Barberton city,Ohio,Small,Walk,237.0,2.0,0.9,OH,North Central
1824,Barnstable Town city,Massachusetts,Small,Walk,509.0,2.3,0.8,MA,Northeast
1825,Barstow city,California,Small,Walk,644.0,7.5,3.4,CA,West
1826,Bartlesville city,Oklahoma,Small,Walk,349.0,2.2,0.7,OK,South
1827,Bartlett city,Tennessee,Small,Walk,91.0,0.3,0.2,TN,South
1828,Bartlett village,Illinois,Small,Walk,159.0,0.7,0.6,IL,North Central
1829,Batavia city,Illinois,Small,Walk,154.0,1.2,0.7,IL,North Central
1830,Battle Creek city,Michigan,Small,Walk,802.0,3.9,0.9,MI,North Central
1831,Bay City city,Michigan,Small,Walk,362.0,2.6,1.0,MI,North Central
1832,Bayonne city,New Jersey,Small,Walk,2626.0,8.7,1.3,NJ,Northeast
1833,Baytown city,Texas,Small,Walk,419.0,1.5,0.6,TX,South
1834,Beaumont city,California,Small,Walk,106.0,0.7,0.5,CA,West
1835,Beavercreek city,Ohio,Small,Walk,300.0,1.3,0.6,OH,North Central
1836,Beaverton city,Oregon,Small,Walk,2370.0,5.3,1.2,OR,West
1837,Bedford city,Texas,Small,Walk,323.0,1.2,0.7,TX,South
1838,Bell city,California,Small,Walk,502.0,3.8,1.4,CA,West
1839,Bell Gardens city,California,Small,Walk,554.0,3.4,1.0,CA,West
1840,Bella Vista town,Arkansas,Small,Walk,181.0,1.7,1.6,AR,South
1841,Belleville city,Illinois,Small,Walk,416.0,1.9,0.9,IL,North Central
1842,Bellevue city,Nebraska,Small,Walk,226.0,0.9,0.3,NE,North Central
1843,Bellflower city,California,Small,Walk,620.0,1.9,0.7,CA,West
1844,Bellingham city,Washington,Small,Walk,3243.0,8.2,1.4,WA,West
1845,Belmont city,California,Small,Walk,259.0,2.0,0.8,CA,West
1846,Beloit city,Wisconsin,Small,Walk,679.0,4.5,1.1,WI,North Central
1847,Belton city,Missouri,Small,Walk,39.0,0.4,0.3,MO,North Central
1848,Belvidere city,Illinois,Small,Walk,242.0,2.3,1.4,IL,North Central
1849,Benbrook city,Texas,Small,Walk,23.0,0.2,0.2,TX,South
1850,Bend city,Oregon,Small,Walk,1090.0,3.0,1.1,OR,West
1851,Benicia city,California,Small,Walk,261.0,2.0,1.0,CA,West
1852,Benton city,Arkansas,Small,Walk,165.0,1.2,0.6,AR,South
1853,Bentonville city,Arkansas,Small,Walk,398.0,2.3,1.1,AR,South
1854,Bergenfield borough,New Jersey,Small,Walk,288.0,2.1,1.2,NJ,Northeast
1855,Berwyn city,Illinois,Small,Walk,1157.0,4.7,1.3,IL,North Central
1856,Bessemer city,Alabama,Small,Walk,69.0,0.7,0.6,AL,South
1857,Bethel Park municipality,Pennsylvania,Small,Walk,156.0,1.0,0.4,PA,Northeast
1858,Bethlehem city,Pennsylvania,Small,Walk,1631.0,5.0,1.0,PA,Northeast
1859,Bettendorf city,Iowa,Small,Walk,141.0,0.9,0.5,IA,North Central
1860,Beverly city,Massachusetts,Small,Walk,1336.0,6.4,1.2,MA,Northeast
1861,Beverly Hills city,California,Small,Walk,889.0,5.4,1.2,CA,West
1862,Biddeford city,Maine,Small,Walk,661.0,6.0,2.4,ME,Northeast
1863,Big Spring city,Texas,Small,Walk,231.0,2.6,1.3,TX,South
1864,Biloxi city,Mississippi,Small,Walk,2131.0,9.3,1.5,MS,South
1865,Binghamton city,New York,Small,Walk,899.0,4.8,1.1,NY,Northeast
1866,Birmingham city,Michigan,Small,Walk,185.0,1.9,0.9,MI,North Central
1867,Bismarck city,North Dakota,Small,Walk,840.0,2.5,0.6,ND,North Central
1868,Bixby city,Oklahoma,Small,Walk,19.0,0.2,0.2,OK,South
1869,Blacksburg town,Virginia,Small,Walk,1836.0,10.6,1.9,VA,South
1870,Blaine city,Minnesota,Small,Walk,232.0,0.8,0.3,MN,North Central
1871,Bloomingdale village,Illinois,Small,Walk,99.0,0.9,0.8,IL,North Central
1872,Bloomington city,Illinois,Small,Walk,1201.0,3.1,0.8,IL,North Central
1873,Bloomington city,Indiana,Small,Walk,5067.0,14.4,1.5,IN,North Central
1874,Bloomington city,Minnesota,Small,Walk,757.0,1.8,0.5,MN,North Central
1875,Blue Island city,Illinois,Small,Walk,263.0,2.7,1.2,IL,North Central
1876,Blue Springs city,Missouri,Small,Walk,187.0,0.7,0.4,MO,North Central
1877,Blythe city,California,Small,Walk,147.0,2.7,1.3,CA,West
1878,Boca Raton city,Florida,Small,Walk,936.0,2.4,0.6,FL,South
1879,Bolingbrook village,Illinois,Small,Walk,347.0,1.0,0.3,IL,North Central
1880,Bonita Springs city,Florida,Small,Walk,189.0,1.2,0.7,FL,South
1881,Bossier City city,Louisiana,Small,Walk,815.0,2.7,0.7,LA,South
1882,Bothell city,Washington,Small,Walk,237.0,1.4,0.6,WA,West
1883,Bountiful city,Utah,Small,Walk,266.0,1.4,0.6,UT,West
1884,Bowie city,Maryland,Small,Walk,466.0,1.6,0.6,MD,South
1885,Bowling Green city,Kentucky,Small,Walk,1338.0,5.0,1.0,KY,South
1886,Bowling Green city,Ohio,Small,Walk,2351.0,15.8,2.4,OH,North Central
1887,Boynton Beach city,Florida,Small,Walk,246.0,0.8,0.4,FL,South
1888,Bozeman city,Montana,Small,Walk,2071.0,10.1,1.7,MT,West
1889,Bradenton city,Florida,Small,Walk,264.0,1.3,0.5,FL,South
1890,Braintree Town city,Massachusetts,Small,Walk,154.0,0.9,0.4,MA,Northeast
1891,Brandon city,Mississippi,Small,Walk,38.0,0.4,0.4,MS,South
1892,Brawley city,California,Small,Walk,315.0,3.7,1.7,CA,West
1893,Brea city,California,Small,Walk,299.0,1.5,0.7,CA,West
1894,Bremerton city,Washington,Small,Walk,2004.0,11.1,3.0,WA,West
1895,Brentwood city,California,Small,Walk,180.0,0.8,0.5,CA,West
1896,Brentwood city,Tennessee,Small,Walk,161.0,1.0,0.6,TN,South
1897,Bridgeton city,New Jersey,Small,Walk,194.0,2.5,1.3,NJ,Northeast
1898,Brighton city,Colorado,Small,Walk,313.0,2.1,0.9,CO,West
1899,Bristol city,Connecticut,Small,Walk,367.0,1.2,0.5,CT,Northeast
1900,Bristol city,Tennessee,Small,Walk,191.0,1.7,1.1,TN,South
1901,Brockton city,Massachusetts,Small,Walk,1133.0,2.7,0.6,MA,Northeast
1902,Brookfield city,Wisconsin,Small,Walk,145.0,0.8,0.5,WI,North Central
1903,Brookings city,South Dakota,Small,Walk,1096.0,8.9,2.0,SD,North Central
1904,Brooklyn Center city,Minnesota,Small,Walk,384.0,2.7,1.1,MN,North Central
1905,Brooklyn Park city,Minnesota,Small,Walk,259.0,0.7,0.3,MN,North Central
1906,Broomfield city,Colorado,Small,Walk,355.0,1.2,0.6,CO,West
1907,Brownsburg town,Indiana,Small,Walk,11.0,0.1,0.2,IN,North Central
1908,Brunswick city,Ohio,Small,Walk,261.0,1.5,1.1,OH,North Central
1909,Bryan city,Texas,Small,Walk,924.0,2.6,0.8,TX,South
1910,Buckeye town,Arizona,Small,Walk,211.0,1.1,0.5,AZ,West
1911,Buena Park city,California,Small,Walk,1057.0,2.9,0.6,CA,West
1912,Buffalo Grove village,Illinois,Small,Walk,119.0,0.5,0.2,IL,North Central
1913,Bullhead City city,Arizona,Small,Walk,177.0,1.3,0.7,AZ,West
1914,Burbank city,Illinois,Small,Walk,175.0,1.4,0.7,IL,North Central
1915,Burien city,Washington,Small,Walk,355.0,1.8,0.6,WA,West
1916,Burleson city,Texas,Small,Walk,156.0,0.9,0.6,TX,South
1917,Burlingame city,California,Small,Walk,532.0,3.7,1.4,CA,West
1918,Burlington city,Iowa,Small,Walk,240.0,2.1,0.9,IA,North Central
1919,Burlington city,North Carolina,Small,Walk,250.0,1.1,0.6,NC,South
1920,Burlington city,Vermont,Small,Walk,4490.0,20.3,1.9,VT,Northeast
1921,Burnsville city,Minnesota,Small,Walk,426.0,1.3,0.5,MN,North Central
1922,Burton city,Michigan,Small,Walk,59.0,0.5,0.3,MI,North Central
1923,Butte-Silver Bow (balance),Montana,Small,Walk,651.0,4.2,1.3,MT,West
1924,Cabot city,Arkansas,Small,Walk,123.0,1.1,0.8,AR,South
1925,Calabasas city,California,Small,Walk,27.0,0.3,0.3,CA,West
1926,Caldwell city,Idaho,Small,Walk,181.0,1.0,0.4,ID,West
1927,Caledonia village,Wisconsin,Small,Walk,26.0,0.2,0.2,WI,North Central
1928,Calexico city,California,Small,Walk,438.0,3.6,1.4,CA,West
1929,Calumet City city,Illinois,Small,Walk,334.0,2.3,1.0,IL,North Central
1930,Camarillo city,California,Small,Walk,392.0,1.3,0.5,CA,West
1931,Camas city,Washington,Small,Walk,153.0,1.9,1.1,WA,West
1932,Camden city,New Jersey,Small,Walk,1300.0,5.5,1.3,NJ,Northeast
1933,Campbell city,California,Small,Walk,306.0,1.4,0.6,CA,West
1934,Canton city,Georgia,Small,Walk,258.0,2.6,1.4,GA,South
1935,Canton city,Ohio,Small,Walk,898.0,3.1,1.0,OH,North Central
1936,Cape Girardeau city,Missouri,Small,Walk,908.0,5.1,1.4,MO,North Central
1937,Carbondale city,Illinois,Small,Walk,1601.0,15.1,3.2,IL,North Central
1938,Carlsbad city,New Mexico,Small,Walk,155.0,1.3,0.9,NM,West
1939,Carmel city,Indiana,Small,Walk,364.0,0.9,0.4,IN,North Central
1940,Carol Stream village,Illinois,Small,Walk,209.0,1.0,0.7,IL,North Central
1941,Carpentersville village,Illinois,Small,Walk,147.0,0.8,0.5,IL,North Central
1942,Carrboro town,North Carolina,Small,Walk,311.0,2.7,1.1,NC,South
1943,Carrollton city,Georgia,Small,Walk,224.0,2.4,1.2,GA,South
1944,Carson city,California,Small,Walk,697.0,1.7,0.6,CA,West
1945,Carson City,Nevada,Small,Walk,387.0,1.7,0.6,NV,West
1946,Carteret borough,New Jersey,Small,Walk,211.0,2.1,1.1,NJ,Northeast
1947,Casa Grande city,Arizona,Small,Walk,443.0,2.4,1.1,AZ,West
1948,Casper city,Wyoming,Small,Walk,483.0,1.7,0.6,WY,West
1949,Casselberry city,Florida,Small,Walk,184.0,1.5,0.9,FL,South
1950,Castle Rock town,Colorado,Small,Walk,373.0,1.5,1.1,CO,West
1951,Cathedral City city,California,Small,Walk,198.0,0.9,0.4,CA,West
1952,Cedar City city,Utah,Small,Walk,666.0,5.6,2.0,UT,West
1953,Cedar Falls city,Iowa,Small,Walk,2411.0,11.8,1.9,IA,North Central
1954,Cedar Hill city,Texas,Small,Walk,282.0,1.3,0.6,TX,South
1955,Cedar Park city,Texas,Small,Walk,287.0,1.1,0.6,TX,South
1956,Centerville city,Ohio,Small,Walk,10.0,0.1,0.2,OH,North Central
1957,Central city,Louisiana,Small,Walk,75.0,0.5,0.4,LA,South
1958,Ceres city,California,Small,Walk,294.0,1.7,0.8,CA,West
1959,Cerritos city,California,Small,Walk,146.0,0.7,0.4,CA,West
1960,Chambersburg borough,Pennsylvania,Small,Walk,332.0,4.1,1.5,PA,Northeast
1961,Champaign city,Illinois,Small,Walk,4831.0,12.1,1.5,IL,North Central
1962,Champlin city,Minnesota,Small,Walk,50.0,0.4,0.3,MN,North Central
1963,Chanhassen city,Minnesota,Small,Walk,118.0,1.0,0.6,MN,North Central
1964,Chapel Hill town,North Carolina,Small,Walk,2685.0,10.2,1.2,NC,South
1965,Charleston city,Illinois,Small,Walk,1365.0,13.5,2.7,IL,North Central
1966,Charleston city,West Virginia,Small,Walk,1268.0,5.5,1.2,WV,South
1967,Charlottesville city,Virginia,Small,Walk,2592.0,12.6,1.7,VA,South
1968,Chaska city,Minnesota,Small,Walk,96.0,0.8,0.6,MN,North Central
1969,Chelsea city,Massachusetts,Small,Walk,1322.0,8.2,1.8,MA,Northeast
1970,Chester city,Pennsylvania,Small,Walk,861.0,7.5,1.5,PA,Northeast
1971,Chesterfield city,Missouri,Small,Walk,187.0,0.8,0.4,MO,North Central
1972,Cheyenne city,Wyoming,Small,Walk,699.0,2.3,0.8,WY,West
1973,Chicago Heights city,Illinois,Small,Walk,194.0,1.7,0.8,IL,North Central
1974,Chico city,California,Small,Walk,2155.0,5.6,0.9,CA,West
1975,Chicopee city,Massachusetts,Small,Walk,718.0,2.8,0.9,MA,Northeast
1976,Chillicothe city,Ohio,Small,Walk,190.0,2.2,1.1,OH,North Central
1977,Chino city,California,Small,Walk,399.0,1.2,0.5,CA,West
1978,Chino Hills city,California,Small,Walk,278.0,0.8,0.5,CA,West
1979,Christiansburg town,Virginia,Small,Walk,23.0,0.2,0.2,VA,South
1980,Cicero town,Illinois,Small,Walk,1171.0,3.5,0.8,IL,North Central
1981,Citrus Heights city,California,Small,Walk,723.0,1.9,0.6,CA,West
1982,Claremont city,California,Small,Walk,1561.0,10.6,1.8,CA,West
1983,Clarksville town,Indiana,Small,Walk,152.0,1.5,1.0,IN,North Central
1984,Clearfield city,Utah,Small,Walk,201.0,1.5,0.8,UT,West
1985,Cleburne city,Texas,Small,Walk,148.0,1.2,0.7,TX,South
1986,Clermont city,Florida,Small,Walk,173.0,1.5,1.2,FL,South
1987,Cleveland city,Tennessee,Small,Walk,473.0,2.7,0.9,TN,South
1988,Cleveland Heights city,Ohio,Small,Walk,1254.0,5.6,0.9,OH,North Central
1989,Cliffside Park borough,New Jersey,Small,Walk,487.0,4.2,1.6,NJ,Northeast
1990,Clifton city,New Jersey,Small,Walk,947.0,2.3,0.6,NJ,Northeast
1991,Clinton city,Iowa,Small,Walk,289.0,2.4,1.0,IA,North Central
1992,Clinton city,Mississippi,Small,Walk,120.0,1.0,0.4,MS,South
1993,Clinton city,Utah,Small,Walk,110.0,1.2,0.7,UT,West
1994,Clovis city,California,Small,Walk,569.0,1.4,0.5,CA,West
1995,Clovis city,New Mexico,Small,Walk,292.0,1.8,0.8,NM,West
1996,Coachella city,California,Small,Walk,135.0,0.9,0.7,CA,West
1997,Coconut Creek city,Florida,Small,Walk,165.0,0.7,0.4,FL,South
1998,Coeur d'Alene city,Idaho,Small,Walk,581.0,2.8,0.8,ID,West
1999,College Park city,Maryland,Small,Walk,2833.0,21.5,3.2,MD,South
2000,College Station city,Texas,Small,Walk,2354.0,5.5,1.1,TX,South
2001,Colleyville city,Texas,Small,Walk,21.0,0.2,0.2,TX,South
2002,Collierville town,Tennessee,Small,Walk,146.0,0.7,0.4,TN,South
2003,Collinsville city,Illinois,Small,Walk,46.0,0.4,0.3,IL,North Central
2004,Colton city,California,Small,Walk,148.0,0.7,0.4,CA,West
2005,Columbia city,Tennessee,Small,Walk,159.0,1.1,0.6,TN,South
2006,Columbus city,Indiana,Small,Walk,260.0,1.2,0.5,IN,North Central
2007,Columbus city,Mississippi,Small,Walk,420.0,4.7,1.6,MS,South
2008,Columbus city,Nebraska,Small,Walk,268.0,2.4,1.2,NE,North Central
2009,Commerce City city,Colorado,Small,Walk,188.0,0.9,0.5,CO,West
2010,Compton city,California,Small,Walk,573.0,1.7,0.5,CA,West
2011,Concord city,New Hampshire,Small,Walk,975.0,4.6,1.0,NH,Northeast
2012,Concord city,North Carolina,Small,Walk,222.0,0.6,0.3,NC,South
2013,Conroe city,Texas,Small,Walk,420.0,1.6,0.6,TX,South
2014,Conway city,Arkansas,Small,Walk,686.0,2.4,0.7,AR,South
2015,Cookeville city,Tennessee,Small,Walk,170.0,1.5,0.7,TN,South
2016,Coon Rapids city,Minnesota,Small,Walk,371.0,1.1,0.4,MN,North Central
2017,Cooper City city,Florida,Small,Walk,157.0,1.0,0.5,FL,South
2018,Coppell city,Texas,Small,Walk,63.0,0.3,0.2,TX,South
2019,Copperas Cove city,Texas,Small,Walk,201.0,1.5,0.8,TX,South
2020,Coral Gables city,Florida,Small,Walk,1292.0,6.1,1.3,FL,South
2021,Corcoran city,California,Small,Walk,78.0,2.0,1.5,CA,West
2022,Corinth city,Texas,Small,Walk,159.0,1.6,1.9,TX,South
2023,Cornelius town,North Carolina,Small,Walk,113.0,0.9,0.5,NC,South
2024,Coronado city,California,Small,Walk,846.0,7.7,2.0,CA,West
