id,Name,Type,Vendor,Calories,Fat (g),Protein (g),Carbohydrate (g),Cholesterol (mg),Saturated Fats (g),Sodium (mg),Serving Weight 1 (g),200 Calorie Weight (g)
57,English Muffin With Egg Cheese And Canadian Bacon,Breakfast Sandwich,Other,228.0,9.66,13.64,21.67,168.0,3.592,617.0,126.0,87.719
58,English Muffin With Egg Cheese And Sausage,Breakfast Sandwich,Other,286.0,18.1,13.38,17.44,163.0,6.928,548.0,165.0,69.93
59,Ham And Cheese On English Muffin,Breakfast Sandwich,Other,254.0,12.16,16.9,18.91,46.0,6.451,752.0,57.0,78.74
60,Burger King Cheeseburger,Burger,Burger King,286.0,14.81,14.57,23.71,45.0,6.842,602.0,133.0,69.93
61,Burger King Double Whopper No Cheese,Burger,Burger King,252.0,15.66,13.94,13.74,46.0,5.773,289.0,374.0,79.365
62,Burger King Double Whopper With Cheese,Burger,Burger King,266.0,17.06,14.47,13.52,47.0,6.998,387.0,399.0,75.188
63,Burger King Hamburger,Burger,Burger King,261.0,10.55,14.85,26.76,35.0,3.821,461.0,99.0,76.628
64,Burger King Whopper No Cheese,Burger,Burger King,233.0,12.84,10.74,18.55,30.0,4.25,313.0,291.0,85.837
65,Burger King Whopper With Cheese,Burger,Burger King,250.0,15.33,11.19,16.7,36.0,5.782,453.0,316.0,80.0
66,Cheeseburger 1 Small Patty With Condiments On Bun From Fast Food / Restaurant (Burger King Whopper Jr. With Cheese),Burger,Burger King,225.0,11.88,11.2,18.11,32.0,4.663,445.0,170.0,88.889
67,Double Bacon Cheeseburger 2 Small Patties With Condiments On Bun From Fast Food / Restaurant (Burger King Bacon Double Cheeseburger),Burger,Burger King,255.0,15.27,14.89,13.77,46.0,5.907,468.0,200.0,78.431
68,Hamburger 1 Small Patty With Condiments On Bun From Fast Food / Restaurant (Burger King Whopper Jr.),Burger,Burger King,207.0,9.53,9.88,20.01,24.0,3.007,358.0,150.0,96.618
69,McDonalds Big Mac,Burger,McDonalds,257.0,14.96,11.82,20.08,36.0,3.803,460.0,219.0,77.821
70,McDonalds Big Mac (Without Big Mac Sauce),Burger,McDonalds,234.0,11.57,12.79,21.01,35.0,4.162,454.0,200.0,85.47
71,McDonalds Cheeseburger,Burger,McDonalds,263.0,11.79,12.97,27.81,35.0,4.435,626.0,119.0,76.046
72,McDonalds Double Cheeseburger,Burger,McDonalds,282.0,16.09,15.5,18.79,48.0,6.998,668.0,155.0,70.922
73,McDonalds Double Quarter Pounder With Cheese,Burger,McDonalds,262.0,16.22,16.96,14.43,57.0,6.473,476.0,280.0,76.336
74,McDonalds Filet-O-Fish,Burger,McDonalds,282.0,14.64,11.26,26.39,32.0,2.833,434.0,134.0,70.922
75,McDonalds Filet-O-Fish (Without Tartar Sauce),Burger,McDonalds,243.0,7.62,12.47,31.08,25.0,1.773,464.0,124.0,82.305
76,McDonalds Hamburger,Burger,McDonalds,264.0,10.09,12.92,30.28,27.0,3.504,494.0,95.0,75.758
77,McDonalds Quarter Pounder,Burger,McDonalds,244.0,11.55,14.1,22.17,39.0,4.008,427.0,171.0,81.967
78,McDonalds Quarter Pounder With Cheese,Burger,McDonalds,258.0,14.22,14.59,19.95,47.0,5.643,579.0,199.0,77.519
79,Cheeseburger 1 Miniature Patty On Miniature Bun From School,Burger,School Lunch,250.0,9.26,19.73,21.32,43.0,4.117,351.0,60.0,80.0
80,Cheeseburger On Bun From School,Burger,School Lunch,244.0,8.39,19.27,22.17,42.0,3.418,320.0,115.0,81.967
81,Hamburger 1 Miniature Patty On Miniature Bun From School,Burger,School Lunch,237.0,6.94,18.14,24.91,37.0,2.35,294.0,50.0,84.388
82,Hamburger On Bun From School,Burger,School Lunch,237.0,7.09,18.39,24.14,38.0,2.42,287.0,95.0,84.388
83,Bacon Cheeseburger 1 Small Patty With Condiments On Bun From Fast Food / Restaurant (Wendy's Jr. Bacon Cheeseburger),Burger,Wendys,272.0,13.48,14.81,23.02,41.0,5.749,641.0,150.0,73.529
84,Cheeseburger 1 Small Patty With Condiments On Bun From Fast Food / Restaurant (Wendy's Jr. Cheeseburger Deluxe),Burger,Wendys,225.0,11.88,11.2,18.11,32.0,4.663,445.0,160.0,88.889
85,Double Bacon Cheeseburger 2 Medium Patties With Condiments On Bun From Fast Food / Restaurant (Wendy's Baconator),Burger,Wendys,271.0,17.4,17.07,10.78,56.0,7.138,412.0,335.0,73.801
86,Wendys Classic Double With Cheese,Burger,Wendys,241.0,14.2,16.52,11.71,51.0,5.89,422.0,310.0,82.988
87,Wendys Classic Single Hamburger No Cheese,Burger,Wendys,213.0,10.6,12.63,16.82,35.0,3.689,395.0,218.0,93.897
88,Wendys Classic Single Hamburger With Cheese,Burger,Wendys,221.0,11.6,14.87,14.2,38.0,5.191,476.0,236.0,90.498
89,Wendys Daves Hot N Juicy 1/4 Lb Single,Burger,Wendys,268.0,15.8,13.69,17.73,51.0,5.746,473.0,215.0,74.627
90,Wendys Jr. Hamburger With Cheese,Burger,Wendys,256.0,11.5,13.06,24.97,36.0,5.181,660.0,129.0,78.125
91,Wendys Jr. Hamburger Without Cheese,Burger,Wendys,243.0,8.75,12.62,28.45,27.0,3.466,539.0,117.0,82.305
92,McDonalds Sausage Burrito,Burrito/Taco/Quesadilla,McDonalds,277.0,15.63,11.1,22.97,137.0,6.404,744.0,109.0,72.202
93,Breakfast Burrito With Egg Cheese And Sausage,Burrito/Taco/Quesadilla,Other,277.0,15.63,11.1,22.97,137.0,6.404,744.0,109.0,72.202
94,Burrito Taco Or Quesadilla With Egg,Burrito/Taco/Quesadilla,Other,229.0,11.84,10.27,19.69,153.0,4.224,548.0,110.0,87.336
95,Burrito Taco Or Quesadilla With Egg And Breakfast Meat,Burrito/Taco/Quesadilla,Other,242.0,13.92,11.38,17.22,144.0,4.846,584.0,123.0,82.645
96,Burrito Taco Or Quesadilla With Egg And Potato,Burrito/Taco/Quesadilla,Other,235.0,12.66,9.04,21.15,129.0,3.956,551.0,127.0,85.106
97,Burrito Taco Or Quesadilla With Egg Beans And Breakfast Meat,Burrito/Taco/Quesadilla,Other,224.0,12.47,10.46,17.32,119.0,4.167,539.0,150.0,89.286
98,Burrito Taco Or Quesadilla With Egg Potato And Breakfast Meat,Burrito/Taco/Quesadilla,Other,246.0,14.36,10.14,18.86,124.0,4.521,582.0,144.0,81.301
99,Burrito Taco Or Quesadilla With Egg Potato And Breakfast Meat From Fast Food,Burrito/Taco/Quesadilla,Other,242.0,13.94,11.15,17.76,141.0,5.52,596.0,144.0,82.645
100,Burrito With Beans,Burrito/Taco/Quesadilla,Other,206.0,6.22,6.48,32.92,2.0,3.174,454.0,217.0,97.087
101,Burrito With Beans And Beef,Burrito/Taco/Quesadilla,Other,191.0,7.47,11.52,19.52,26.0,2.905,570.0,241.0,104.712
102,Burrito With Beans And Cheese,Burrito/Taco/Quesadilla,Other,205.0,6.05,7.35,31.23,5.0,2.309,563.0,185.0,97.561
103,Burrito With Beans Cheese And Beef,Burrito/Taco/Quesadilla,Other,180.0,6.8,7.03,23.37,12.0,2.733,451.0,241.0,111.111
104,Crispy Chicken In Tortilla With Lettuce Cheese And Ranch Sauce,Burrito/Taco/Quesadilla,Other,275.0,15.1,11.48,23.22,29.0,3.837,607.0,133.0,72.727
105,Taco With Beef Cheese And Lettuce Hard Shell,Burrito/Taco/Quesadilla,Other,226.0,12.7,8.86,19.85,28.0,4.384,397.0,69.0,88.496
106,Taco With Beef Cheese And Lettuce Soft,Burrito/Taco/Quesadilla,Other,206.0,9.75,9.25,20.23,25.0,4.155,560.0,102.0,97.087
107,Taco With Chicken Lettuce And Cheese Soft,Burrito/Taco/Quesadilla,Other,189.0,6.35,13.3,19.69,29.0,2.559,613.0,98.0,105.82
108,Taquito Or Flauta With Egg,Burrito/Taco/Quesadilla,Other,255.0,11.39,10.06,27.37,93.0,4.749,551.0,36.0,78.431
109,Taquito Or Flauta With Egg And Breakfast Meat,Burrito/Taco/Quesadilla,Other,267.0,12.7,11.38,25.94,93.0,5.149,614.0,36.0,74.906
110,Quesadilla With Chicken,Burrito/Taco/Quesadilla,Other,294.0,15.25,15.05,24.04,37.0,6.154,745.0,180.0,68.027
111,Taco Bell Bean Burrito,Burrito/Taco/Quesadilla,Taco Bell,209.0,6.05,7.35,31.23,5.0,2.309,563.0,185.0,95.694
112,Taco Bell Burrito Supreme With Beef,Burrito/Taco/Quesadilla,Taco Bell,183.0,6.8,7.03,23.37,12.0,2.733,451.0,241.0,109.29
113,Taco Bell Burrito Supreme With Chicken,Burrito/Taco/Quesadilla,Taco Bell,179.0,6.42,9.84,20.51,21.0,2.352,564.0,248.0,111.732
114,Taco Bell Burrito Supreme With Steak,Burrito/Taco/Quesadilla,Taco Bell,183.0,7.27,9.13,20.32,21.0,2.674,534.0,248.0,109.29
115,Taco Bell Original Taco With Beef Cheese And Lettuce,Burrito/Taco/Quesadilla,Taco Bell,229.0,12.7,8.86,19.85,28.0,4.384,397.0,69.0,87.336
116,Taco Bell Soft Taco With Beef Cheese And Lettuce,Burrito/Taco/Quesadilla,Taco Bell,206.0,9.75,9.25,20.23,25.0,4.155,560.0,102.0,97.087
117,Taco Bell Soft Taco With Chicken Cheese And Lettuce,Burrito/Taco/Quesadilla,Taco Bell,189.0,6.35,13.3,19.69,29.0,2.559,613.0,98.0,105.82
118,Taco Bell Soft Taco With Steak,Burrito/Taco/Quesadilla,Taco Bell,225.0,12.1,11.81,17.22,31.0,3.369,551.0,127.0,88.889
119,Restaurant Chinese Vegetable Chow Mein Without Meat Or Noodles,Chinese,Other,43.0,1.68,1.34,5.74,1.2,0.293,0.293,344.0,777.0
120,Restaurant Chinese Shrimp And Vegetables,Chinese,Other,78.0,4.05,5.9,4.52,1.4,0.49,0.633,375.0,601.0
121,Restaurant Chinese Chicken Chow Mein,Chinese,Other,85.0,2.8,6.76,8.29,1.0,0.49,0.49,311.0,604.0
122,Restaurant Chinese Chicken And Vegetables,Chinese,Other,95.0,4.56,8.18,5.38,0.9,0.293,0.77,413.0,693.0
123,Restaurant Chinese Beef And Vegetables,Chinese,Other,105.0,5.3,7.08,7.29,1.5,0.978,0.978,409.0,574.0
124,Restaurant Chinese Vegetable Lo Mein Without Meat,Chinese,Other,121.0,2.35,4.77,20.16,1.3,0.464,0.464,430.0,741.0
125,Restaurant Chinese Kung Pao Chicken,Chinese,Other,129.0,6.98,9.76,6.87,1.5,1.352,1.352,402.0,604.0
126,Restaurant Chinese Fried Rice Without Meat,Chinese,Other,174.0,2.96,4.05,32.79,1.1,0.54,0.54,387.0,137.0
127,Restaurant Chinese Egg Rolls Assorted,Chinese,Other,250.0,11.94,8.28,27.29,2.6,2.116,2.116,468.0,89.0
128,Restaurant Chinese Sweet And Sour Chicken,Chinese,Other,250.0,12.65,10.1,23.86,1.0,1.933,1.933,246.0,706.0
129,Restaurant Chinese Lemon Chicken,Chinese,Other,252.0,13.55,11.87,20.61,1.0,2.033,2.033,252.0,623.0
130,Restaurant Chinese Orange Chicken,Chinese,Other,262.0,12.68,14.46,22.46,0.8,2.422,2.422,553.0,648.0
131,Restaurant Chinese Sweet And Sour Pork,Chinese,Other,270.0,15.66,8.91,23.34,1.0,2.68,2.68,304.0,609.0
132,Restaurant Chinese Sesame Chicken,Chinese,Other,293.0,14.25,14.33,26.88,0.7,2.41,2.41,482.0,547.0
133,Restaurant Chinese General Tsos Chicken,Chinese,Other,295.0,16.36,12.9,23.99,0.9,2.76,2.76,435.0,535.0
134,Rice Fried With Beef,Chinese,Other,178.0,3.87,8.04,27.87,29.0,0.971,335.0,198.0,112.36
135,Rice Fried With Chicken,Chinese,Other,173.0,3.47,7.46,27.87,32.0,0.696,381.0,198.0,115.607
136,Rice Fried With Pork,Chinese,Other,179.0,3.96,7.74,27.87,27.0,0.986,338.0,198.0,111.732
137,Rice Fried With Shrimp,Chinese,Other,166.0,2.77,6.86,28.1,47.0,0.537,346.0,198.0,120.482
138,Burger King Chicken Strips,Fried Chicken,Burger King,292.0,15.25,18.2,20.49,44.0,2.699,859.0,36.0,68.493
139,Chick-Fil-A Chick-N-Strips,Fried Chicken,Chick-Fil-A,228.0,11.2,21.4,10.39,56.0,2.057,577.0,50.0,87.719
140,Kfc Crispy Chicken Strips,Fried Chicken,KFC,274.0,15.42,20.25,13.66,51.0,2.887,948.0,47.0,72.993
141,Kfc Fried Chicken Breast,Fried Chicken,KFC,268.0,16.55,21.24,8.47,76.0,3.538,607.0,212.0,74.627
142,Kfc Fried Chicken Extra Crispy Breast Meat Only Skin And Breading Removed,Fried Chicken,KFC,153.0,4.82,27.25,0.25,87.0,1.196,477.0,140.0,130.719
143,Kfc Fried Chicken Extra Crispy Drumstick Meat And Skin With Breading,Fried Chicken,KFC,274.0,17.73,20.62,7.96,109.0,3.887,632.0,81.0,72.993
144,Kfc Fried Chicken Extra Crispy Drumstick Meat Only Skin And Breading Removed,Fried Chicken,KFC,170.0,7.43,25.9,0.0,137.0,1.893,526.0,41.0,117.647
145,Kfc Fried Chicken Extra Crispy Thigh Meat And Skin With Breading,Fried Chicken,KFC,309.0,22.14,17.17,10.3,91.0,4.917,682.0,152.0,64.725
146,Kfc Fried Chicken Extra Crispy Thigh Meat Only Skin And Breading Removed,Fried Chicken,KFC,179.0,9.96,22.41,0.0,118.0,2.709,558.0,91.0,111.732
147,Kfc Fried Chicken Extra Crispy Wing Meat And Skin With Breading,Fried Chicken,KFC,337.0,23.0,20.8,11.66,107.0,4.796,765.0,68.0,59.347
148,Kfc Fried Chicken Extra Crispy Wing Meat Only Skin And Breading Removed,Fried Chicken,KFC,236.0,12.13,28.67,2.97,146.0,2.603,714.0,44.0,84.746
149,Kfc Fried Chicken Original Recipe Breast Meat And Skin With Breading,Fried Chicken,KFC,231.0,13.11,21.94,6.28,81.0,2.981,606.0,212.0,86.58
150,Kfc Fried Chicken Original Recipe Breast Meat Only Skin And Breading Removed,Fried Chicken,KFC,149.0,4.56,26.89,0.0,96.0,1.03,499.0,152.0,134.228
151,Kfc Fried Chicken Original Recipe Drumstick Meat And Skin With Breading,Fried Chicken,KFC,239.0,14.22,22.3,5.39,117.0,3.24,625.0,75.0,83.682
152,Kfc Fried Chicken Original Recipe Drumstick Meat Only Skin And Breading Removed,Fried Chicken,KFC,175.0,7.66,26.3,0.11,137.0,1.838,524.0,40.0,114.286
153,Kfc Fried Chicken Original Recipe Thigh Meat And Skin With Breading,Fried Chicken,KFC,269.0,17.73,18.9,8.46,104.0,4.123,781.0,135.0,74.349
154,Kfc Fried Chicken Original Recipe Thigh Meat Only Skin And Breading Removed,Fried Chicken,KFC,175.0,9.31,22.78,0.01,122.0,2.308,568.0,86.0,114.286
155,Kfc Fried Chicken Original Recipe Wing Meat And Skin With Breading,Fried Chicken,KFC,297.0,18.9,21.7,9.93,113.0,4.251,884.0,60.0,67.34
156,Kfc Fried Chicken Original Recipe Wing Meat Only Skin And Breading Removed,Fried Chicken,KFC,216.0,10.49,28.65,1.76,141.0,2.321,738.0,39.0,92.593
157,Kfc Popcorn Chicken,Fried Chicken,KFC,351.0,21.74,17.67,21.18,40.0,3.954,1140.0,6.4,56.98
158,McDonalds Chicken Mcnuggets,Fried Chicken,McDonalds,302.0,19.81,15.79,15.09,44.0,3.261,566.0,64.0,66.225
159,Popeyes Fried Chicken Mild Breast Meat And Skin With Breading,Fried Chicken,Popeyes,274.0,16.47,21.67,9.83,98.0,5.765,540.0,194.0,72.993
160,Popeyes Fried Chicken Mild Breast Meat Only Skin And Breading Removed,Fried Chicken,Popeyes,157.0,4.52,28.98,0.0,97.0,1.368,526.0,132.0,127.389
161,Popeyes Fried Chicken Mild Drumstick Meat And Skin With Breading,Fried Chicken,Popeyes,293.0,19.14,20.44,9.84,108.0,6.591,588.0,76.0,68.259
162,Popeyes Fried Chicken Mild Drumstick Meat Only Skin And Breading Removed,Fried Chicken,Popeyes,170.0,7.14,26.51,0.04,127.0,2.282,478.0,44.0,117.647
163,Popeyes Fried Chicken Mild Thigh Meat And Skin With Breading,Fried Chicken,Popeyes,310.0,20.99,19.14,11.2,107.0,7.344,685.0,138.0,64.516
164,Popeyes Fried Chicken Mild Thigh Meat Only Skin And Breading Removed,Fried Chicken,Popeyes,188.0,9.66,24.31,0.85,131.0,2.938,601.0,83.0,106.383
165,Popeyes Fried Chicken Mild Wing Meat And Skin With Breading,Fried Chicken,Popeyes,338.0,22.48,20.4,13.52,114.0,8.021,788.0,57.0,59.172
166,Popeyes Fried Chicken Mild Wing Meat Only Skin And Breading Removed,Fried Chicken,Popeyes,212.0,9.42,28.94,2.9,156.0,3.079,814.0,16.0,94.34
167,Popeyes Mild Chicken Strips Analyzed 2006,Fried Chicken,Popeyes,271.0,13.01,19.2,19.31,52.0,5.442,922.0,54.0,73.801
168,Popeyes Spicy Chicken Strips Analyzed 2006,Fried Chicken,Popeyes,253.0,11.2,19.61,18.52,53.0,4.743,997.0,53.0,79.051
169,School Lunch Chicken Nuggets Whole Grain Breaded,Fried Chicken,School Lunch,270.0,12.9,15.67,22.86,50.0,2.83,511.0,88.0,74.074
170,School Lunch Chicken Patty Whole Grain Breaded,Fried Chicken,School Lunch,246.0,13.93,17.64,12.5,36.0,2.642,467.0,86.0,81.301
171,Wendys Chicken Nuggets,Fried Chicken,Wendys,326.0,22.55,16.46,14.31,50.0,4.787,708.0,68.0,61.35
172,Burger King Hash Brown Rounds,Fries,Burger King,302.0,19.3,2.8,29.37,0.0,3.285,568.0,5.6,66.225
173,McDonalds Hash Brown,Fries,McDonalds,271.0,16.3,2.48,28.56,0.0,2.327,580.0,53.0,73.801
174,Hush Puppies,Fries,Other,296.0,13.25,6.16,40.21,0.0,2.621,813.0,22.0,67.568
175,Onion Rings Breaded And Fried,Fries,Other,411.0,25.23,3.86,43.58,0.0,4.194,776.0,117.0,48.662
176,Potato French Fried In Vegetable Oil,Fries,Other,312.0,14.73,3.43,41.44,0.0,2.336,210.0,71.0,64.103
177,Potato French Fries From Fresh Baked,Fries,Other,164.0,9.16,2.02,19.34,0.0,1.266,147.0,2.0,121.951
178,Potato French Fries From Fresh Fried,Fries,Other,196.0,13.1,1.93,18.5,0.0,1.804,141.0,2.0,102.041
179,Potato French Fries From Frozen Fried,Fries,Other,224.0,14.07,2.5,23.23,0.0,2.014,295.0,2.0,89.286
180,Potato French Fries Nfs,Fries,Other,224.0,14.07,2.5,23.23,0.0,2.014,295.0,2.0,89.286
181,Potato French Fries Ns As To Fresh Or Frozen,Fries,Other,224.0,14.07,2.5,23.23,0.0,2.014,295.0,2.0,89.286
182,Potato French Fries With Cheese,Fries,Other,259.0,14.14,3.36,29.69,3.0,2.602,364.0,8.0,77.22
183,Potato French Fries With Cheese Fast Food / Restaurant,Fries,Other,259.0,14.14,3.36,29.69,3.0,2.602,364.0,107.0,77.22
184,Potato French Fries With Chili,Fries,Other,241.0,10.81,4.25,31.58,3.0,1.959,293.0,8.0,82.988
185,Potato French Fries With Chili And Cheese,Fries,Other,220.0,11.38,3.99,25.41,4.0,2.254,386.0,10.0,90.909
186,Potato French Fries With Chili And Cheese Fast Food / Restaurant,Fries,Other,220.0,11.38,3.99,25.41,4.0,2.254,386.0,10.0,90.909
187,Potato French Fries With Chili Fast Food / Restaurant,Fries,Other,241.0,10.81,4.25,31.58,3.0,1.959,293.0,8.0,82.988
188,Potato Hash Brown From Dry Mix,Fries,Other,217.0,11.48,2.62,28.23,0.0,0.925,399.0,160.0,92.166
189,Potato Hash Brown From Fast Food With Cheese,Fries,Other,294.0,19.75,5.96,24.58,16.0,5.261,580.0,55.0,68.027
190,Potato Hash Brown From Fresh,Fries,Other,189.0,12.27,1.94,18.57,0.0,1.691,344.0,160.0,105.82
191,Potato Hash Brown From Fresh With Cheese,Fries,Other,221.0,15.39,5.04,16.27,15.0,4.236,389.0,160.0,90.498
192,Potato Hash Brown From Restaurant With Cheese,Fries,Other,294.0,19.75,5.96,24.58,16.0,5.261,580.0,55.0,68.027
193,Potato Hash Brown Nfs,Fries,Other,217.0,11.48,2.62,28.23,0.0,0.925,399.0,55.0,92.166
194,Potato Hash Brown Ready-To-Heat,Fries,Other,217.0,11.48,2.62,28.23,0.0,0.925,399.0,55.0,92.166
195,Potato Hash Brown Ready-To-Heat With Cheese,Fries,Other,248.0,15.08,5.97,24.07,16.0,3.89,441.0,55.0,80.645
