id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
46,Indiana,Northern Indiana,1,Fri 1/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,26.69,32.25,79,11,SW,0,0.1,1022,100,1673024400,-18000
47,Indiana,Northern Indiana,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,26.08,36.72,61,7,E,0,0,1028,6,1673110800,-18000
48,Indiana,Northern Indiana,3,Sun 1/8,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,28.11,32.36,94,11,E,0,2.37,1021,100,1673197200,-18000
49,Indiana,Northern Indiana,4,Mon 1/9,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,25.7,37.18,84,13,S,0,0,1018,14,1673283600,-18000
50,Indiana,Northern Indiana,5,Tue 1/10,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,29.48,36.12,96,14,NE,1.26,0.13,1016,100,1673370000,-18000
51,Iowa,Davenport/Quad Cities,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,18.61,31.57,64,10,W,0,0,1023,85,1673028000,-21600
52,Iowa,Davenport/Quad Cities,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,22.68,34.21,57,9,NE,0,0,1027,4,1673114400,-21600
53,Iowa,Davenport/Quad Cities,3,Sun 1/8,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,27.34,36.61,67,6,NE,0,0,1021,69,1673200800,-21600
54,Iowa,Davenport/Quad Cities,4,Mon 1/9,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,28.49,42.44,70,13,S,0,0,1014,2,1673287200,-21600
55,Iowa,Davenport/Quad Cities,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.45,35.91,84,14,N,0,0,1018,100,1673373600,-21600
56,Iowa,Des Moines,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,19.18,33.44,63,6,W,0,0,1023,82,1673028000,-21600
57,Iowa,Des Moines,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,21.27,32.95,53,9,N,0,0,1027,10,1673114400,-21600
58,Iowa,Des Moines,3,Sun 1/8,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,24.69,37.69,63,8,S,0,0,1022,10,1673200800,-21600
59,Iowa,Des Moines,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,29.55,41.23,73,9,S,0,0,1012,43,1673287200,-21600
60,Iowa,Des Moines,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.18,34.2,82,13,NW,0,0,1020,100,1673373600,-21600
61,Kansas,Dodge City,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,33.35,59.27,36,18,NW,0,0,1012,100,1673028000,-21600
62,Kansas,Dodge City,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,27.34,46.33,52,15,NW,0,0,1026,6,1673114400,-21600
63,Kansas,Dodge City,3,Sun 1/8,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,33.75,56.39,34,13,S,0,0,1018,29,1673200800,-21600
64,Kansas,Dodge City,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,34.83,57.38,28,11,NW,0,0,1014,36,1673287200,-21600
65,Kansas,Dodge City,5,Tue 1/10,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.39,52.61,50,15,SE,0,0,1020,19,1673373600,-21600
66,Kansas,Goodland,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,19.11,31.15,75,11,NW,0,0,1016,55,1673028000,-25200
67,Kansas,Goodland,2,Sat 1/7,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,19.69,37.81,81,10,SW,0,0,1026,91,1673114400,-25200
68,Kansas,Goodland,3,Sun 1/8,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28.36,46.45,60,10,SW,0,0,1018,78,1673200800,-25200
69,Kansas,Goodland,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,28.87,46.36,52,19,W,0,0,1016,33,1673287200,-25200
70,Kansas,Goodland,5,Tue 1/10,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,28.35,50.61,35,18,S,0,0,1017,14,1673373600,-25200
71,Kansas,Topeka,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,20.16,46.65,47,14,E,0,0,1020,68,1673028000,-21600
72,Kansas,Topeka,2,Sat 1/7,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,29.97,38.55,82,14,NE,1.29,0.1,1023,100,1673114400,-21600
73,Kansas,Topeka,3,Sun 1/8,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,28.69,47.25,53,10,S,0,0,1022,6,1673200800,-21600
74,Kansas,Topeka,4,Mon 1/9,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.21,51.53,61,11,S,0,0,1013,88,1673287200,-21600
75,Kansas,Topeka,5,Tue 1/10,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.5,41.18,61,16,NW,0,0,1020,7,1673373600,-21600
76,Kansas,Wichita,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,33.3,51.55,45,15,SE,0,0,1016,100,1673028000,-21600
77,Kansas,Wichita,2,Sat 1/7,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,32.74,44.69,58,14,NW,0,0,1023,24,1673114400,-21600
78,Kansas,Wichita,3,Sun 1/8,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.3,52.81,47,11,SE,0,0,1022,0,1673200800,-21600
79,Kansas,Wichita,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,38.77,55.53,50,13,SE,0,0,1014,84,1673287200,-21600
80,Kansas,Wichita,5,Tue 1/10,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.14,48.31,45,13,NW,0,0,1021,8,1673373600,-21600
81,Kentucky,Jackson,1,Fri 1/6,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,33.71,43.14,64,9,SW,0,0,1025,30,1673024400,-18000
82,Kentucky,Jackson,2,Sat 1/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.17,41.11,97,5,NE,1.43,0,1028,100,1673110800,-18000
83,Kentucky,Jackson,3,Sun 1/8,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.2,51.69,91,10,S,14.25,0,1019,100,1673197200,-18000
84,Kentucky,Jackson,4,Mon 1/9,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.69,45.07,73,8,W,0,0,1021,97,1673283600,-18000
85,Kentucky,Jackson,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.28,52.34,55,3,N,0,0,1013,99,1673370000,-18000
86,Kentucky,Louisville,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,31.55,43.59,63,9,SW,0,0,1025,64,1673024400,-18000
87,Kentucky,Louisville,2,Sat 1/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.44,41.85,87,8,E,1.67,0,1027,100,1673110800,-18000
88,Kentucky,Louisville,3,Sun 1/8,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.4,51.96,96,13,SW,0.38,0,1017,100,1673197200,-18000
89,Kentucky,Louisville,4,Mon 1/9,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,39.33,48.47,68,7,W,0,0,1021,95,1673283600,-18000
90,Kentucky,Louisville,5,Tue 1/10,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.46,50.5,62,6,SE,0.1,0,1013,87,1673370000,-18000
91,Kentucky,Paducah,1,Fri 1/6,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.03,47.73,54,7,SW,0,0,1025,19,1673028000,-21600
92,Kentucky,Paducah,2,Sat 1/7,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.47,47.44,92,12,E,3.97,0,1021,100,1673114400,-21600
93,Kentucky,Paducah,3,Sun 1/8,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,42.22,49.48,81,11,W,0,0,1020,89,1673200800,-21600
94,Kentucky,Paducah,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,35.92,51.98,65,9,S,0,0,1021,34,1673287200,-21600
95,Kentucky,Paducah,5,Tue 1/10,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,42.15,51.55,78,9,NW,0.89,0,1012,79,1673373600,-21600
96,Michigan,Detroit/Pontiac,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.5,35.11,81,9,W,0,0,1019,99,1673024400,-18000
97,Michigan,Detroit/Pontiac,2,Sat 1/7,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,27.88,34.03,54,8,W,0,0,1027,30,1673110800,-18000
98,Michigan,Detroit/Pontiac,3,Sun 1/8,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,28.2,33.78,61,7,E,0,0.28,1023,99,1673197200,-18000
99,Michigan,Detroit/Pontiac,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28.87,37.09,57,10,SW,0,0,1017,51,1673283600,-18000
100,Michigan,Detroit/Pontiac,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,23.94,33.98,71,13,NE,0,0,1019,100,1673370000,-18000
101,Michigan,Gaylord,1,Fri 1/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,24.22,30.34,85,8,W,0,0.1,1018,100,1673024400,-18000
102,Michigan,Gaylord,2,Sat 1/7,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,20.91,26.51,79,8,NW,0,0,1029,86,1673110800,-18000
103,Michigan,Gaylord,3,Sun 1/8,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,20.61,30.69,72,6,S,0,0,1023,33,1673197200,-18000
104,Michigan,Gaylord,4,Mon 1/9,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,25,32.74,79,13,SW,0,0,1013,100,1673283600,-18000
105,Michigan,Gaylord,5,Tue 1/10,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,13.37,28.74,59,13,N,0,0.13,1025,77,1673370000,-18000
106,Michigan,Grand Rapids,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.81,32.94,83,11,SW,0,0,1019,98,1673024400,-18000
107,Michigan,Grand Rapids,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,25.93,34.74,70,5,W,0,0,1028,7,1673110800,-18000
108,Michigan,Grand Rapids,3,Sun 1/8,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.3,35.13,66,8,E,0,0,1022,100,1673197200,-18000
109,Michigan,Grand Rapids,4,Mon 1/9,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,28.56,37.31,76,14,SW,0,0,1016,22,1673283600,-18000
110,Michigan,Grand Rapids,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,21.74,34.65,67,14,NE,0,0,1019,100,1673370000,-18000
111,Michigan,Marquette,1,Fri 1/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,12.69,23.02,84,8,NW,0,0.1,1020,83,1673024400,-18000
112,Michigan,Marquette,2,Sat 1/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,11.21,27.7,89,6,NW,0,0,1029,75,1673110800,-18000
113,Michigan,Marquette,3,Sun 1/8,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,12.02,31.39,84,9,SW,0,0,1020,27,1673197200,-18000
114,Michigan,Marquette,4,Mon 1/9,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,18.7,30.45,87,10,NW,0,0.23,1012,86,1673283600,-18000
115,Michigan,Marquette,5,Tue 1/10,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,2.12,20.01,83,11,N,0,0.38,1028,100,1673370000,-18000
116,Minnesota,Duluth,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,-4.61,25.48,72,6,NW,0,0,1023,90,1673028000,-21600
117,Minnesota,Duluth,2,Sat 1/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,0.36,25.09,92,5,SW,0,0,1029,75,1673114400,-21600
118,Minnesota,Duluth,3,Sun 1/8,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,-2.6,20.57,80,9,SW,0,0,1019,26,1673200800,-21600
119,Minnesota,Duluth,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,10.85,29.16,89,10,N,0,0,1013,51,1673287200,-21600
120,Minnesota,Duluth,5,Tue 1/10,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,1.13,18.03,85,11,NE,0,0,1028,73,1673373600,-21600
121,Minnesota,Chanhassen/Twin Cities,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,-6,17.28,82,4,W,0,0,1025,76,1673028000,-21600
122,Minnesota,Chanhassen/Twin Cities,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,-9.4,19.24,80,4,S,0,0,1030,9,1673114400,-21600
123,Minnesota,Chanhassen/Twin Cities,3,Sun 1/8,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,-9.9,22.3,81,8,S,0,0,1021,23,1673200800,-21600
124,Minnesota,Chanhassen/Twin Cities,4,Mon 1/9,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,6.66,27.82,93,7,N,0,0,1014,91,1673287200,-21600
125,Minnesota,Chanhassen/Twin Cities,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,11.52,24.89,90,10,E,0,0,1025,93,1673373600,-21600
126,Missouri,Kansas City/Pleasant Hill,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,26.91,45.77,48,9,E,0,0,1022,65,1673028000,-21600
127,Missouri,Kansas City/Pleasant Hill,2,Sat 1/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,33.22,40.28,88,13,NE,3.53,0,1021,100,1673114400,-21600
128,Missouri,Kansas City/Pleasant Hill,3,Sun 1/8,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,28.76,44.71,71,8,NW,0,0,1023,22,1673200800,-21600
129,Missouri,Kansas City/Pleasant Hill,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,34.83,52.99,62,15,S,0,0,1014,52,1673287200,-21600
130,Missouri,Kansas City/Pleasant Hill,5,Tue 1/10,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,29.71,42.37,69,13,NW,0,0,1019,41,1673373600,-21600
131,Missouri,Springfield,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.54,49.14,45,14,SE,0,0,1022,86,1673028000,-21600
132,Missouri,Springfield,2,Sat 1/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.99,54.01,72,13,SW,0.77,0,1017,86,1673114400,-21600
133,Missouri,Springfield,3,Sun 1/8,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,34.38,45.95,68,10,W,0,0,1023,76,1673200800,-21600
134,Missouri,Springfield,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,37.22,55.31,51,13,S,0,0,1016,45,1673287200,-21600
135,Missouri,Springfield,5,Tue 1/10,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,34.5,43.18,62,14,NW,0,0,1018,46,1673373600,-21600
136,Missouri,St. Louis,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28,45.32,46,7,W,0,0,1023,62,1673028000,-21600
137,Missouri,St. Louis,2,Sat 1/7,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,40.03,41.68,89,11,NE,4.24,0,1022,98,1673114400,-21600
138,Missouri,St. Louis,3,Sun 1/8,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.29,40.48,94,10,W,0.12,0,1021,100,1673200800,-21600
139,Missouri,St. Louis,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,34.43,53.87,57,10,S,0,0,1017,56,1673287200,-21600
140,Missouri,St. Louis,5,Tue 1/10,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,40.64,47.07,71,10,NW,0,0,1014,84,1673373600,-21600
141,Nebraska,Hastings,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,17.17,38.59,72,10,NE,0,0,1018,100,1673028000,-21600
142,Nebraska,Hastings,2,Sat 1/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,16.86,30.4,75,9,N,0,0,1028,81,1673114400,-21600
143,Nebraska,Hastings,3,Sun 1/8,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,21.16,43.07,77,9,S,0,0,1020,10,1673200800,-21600
144,Nebraska,Hastings,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.26,44.64,71,15,NW,0,0,1012,83,1673287200,-21600
145,Nebraska,Hastings,5,Tue 1/10,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,24.66,40.1,64,14,NW,0,0,1022,11,1673373600,-21600
146,Nebraska,North Platte,1,Fri 1/6,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,8.46,32.16,81,7,S,0,0,1018,37,1673028000,-21600
147,Nebraska,North Platte,2,Sat 1/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,18.81,31.6,89,6,S,0,0,1027,63,1673114400,-21600
148,Nebraska,North Platte,3,Sun 1/8,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,20.61,36.01,91,8,SW,0,0,1019,64,1673200800,-21600
149,Nebraska,North Platte,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,27.23,37.8,81,17,W,0,0,1015,27,1673287200,-21600
150,Nebraska,North Platte,5,Tue 1/10,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,24.82,34.68,97,13,SE,0,0,1020,60,1673373600,-21600
151,Nebraska,Omaha/Valley,1,Fri 1/6,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,20.08,37.85,68,8,NE,0,0,1022,13,1673028000,-21600
