id,CITY,STATE,DATE,TIME,LONGITUDE,LATITUDE,CONCENTRATION OF CO2 (PPMV)
63,New York,NY,11/1/2007,62.0,-74.5,40.5,384.348
64,New York,NY,12/1/2007,63.0,-74.5,40.5,384.804
65,New York,NY,1/1/2008,64.0,-74.5,40.5,385.86
66,New York,NY,2/1/2008,65.0,-74.5,40.5,385.644
67,New York,NY,3/1/2008,66.0,-74.5,40.5,385.603
68,New York,NY,4/1/2008,67.0,-74.5,40.5,386.158
69,New York,NY,5/1/2008,68.0,-74.5,40.5,385.71
70,New York,NY,6/1/2008,69.0,-74.5,40.5,386.106
71,New York,NY,7/1/2008,70.0,-74.5,40.5,384.981
72,New York,NY,8/1/2008,71.0,-74.5,40.5,384.108
73,New York,NY,9/1/2008,72.0,-74.5,40.5,383.726
74,New York,NY,10/1/2008,73.0,-74.5,40.5,385.27
75,New York,NY,11/1/2008,74.0,-74.5,40.5,385.667
76,New York,NY,12/1/2008,75.0,-74.5,40.5,386.54
77,New York,NY,1/1/2009,76.0,-74.5,40.5,387.632
78,New York,NY,2/1/2009,77.0,-74.5,40.5,388.216
79,New York,NY,3/1/2009,78.0,-74.5,40.5,387.623
80,New York,NY,4/1/2009,79.0,-74.5,40.5,387.98
81,New York,NY,5/1/2009,80.0,-74.5,40.5,387.858
82,New York,NY,6/1/2009,81.0,-74.5,40.5,386.694
83,New York,NY,7/1/2009,82.0,-74.5,40.5,386.029
84,New York,NY,8/1/2009,83.0,-74.5,40.5,386.432
85,New York,NY,9/1/2009,84.0,-74.5,40.5,385.633
86,New York,NY,10/1/2009,85.0,-74.5,40.5,386.709
87,New York,NY,11/1/2009,86.0,-74.5,40.5,387.131
88,New York,NY,12/1/2009,87.0,-74.5,40.5,388.493
89,New York,NY,1/1/2010,88.0,-74.5,40.5,389.682
90,New York,NY,2/1/2010,89.0,-74.5,40.5,389.404
91,New York,NY,3/1/2010,90.0,-74.5,40.5,389.626
92,New York,NY,4/1/2010,91.0,-74.5,40.5,389.8
93,New York,NY,5/1/2010,92.0,-74.5,40.5,389.768
94,New York,NY,6/1/2010,93.0,-74.5,40.5,389.574
95,New York,NY,7/1/2010,94.0,-74.5,40.5,388.919
96,New York,NY,8/1/2010,95.0,-74.5,40.5,387.706
97,New York,NY,9/1/2010,96.0,-74.5,40.5,387.995
98,New York,NY,10/1/2010,97.0,-74.5,40.5,388.856
99,New York,NY,11/1/2010,98.0,-74.5,40.5,389.369
100,New York,NY,12/1/2010,99.0,-74.5,40.5,390.291
101,New York,NY,1/1/2011,100.0,-74.5,40.5,390.945
102,New York,NY,2/1/2011,101.0,-74.5,40.5,391.584
103,New York,NY,3/1/2011,102.0,-74.5,40.5,392.221
104,New York,NY,4/1/2011,103.0,-74.5,40.5,390.623
105,New York,NY,5/1/2011,104.0,-74.5,40.5,392.038
106,New York,NY,6/1/2011,105.0,-74.5,40.5,391.608
107,New York,NY,7/1/2011,106.0,-74.5,40.5,390.829
108,New York,NY,8/1/2011,107.0,-74.5,40.5,389.333
109,New York,NY,9/1/2011,108.0,-74.5,40.5,389.268
110,New York,NY,10/1/2011,109.0,-74.5,40.5,390.785
111,New York,NY,11/1/2011,110.0,-74.5,40.5,391.28
112,New York,NY,12/1/2011,111.0,-74.5,40.5,392.239
113,New York,NY,1/1/2012,112.0,-74.5,40.5,392.784
114,New York,NY,2/1/2012,113.0,-74.5,40.5,393.468
115,New York,NY,3/1/2012,114.0,-74.5,40.5,392.956
116,New York,NY,4/1/2012,115.0,-74.5,40.5,393.865
117,New York,NY,5/1/2012,116.0,-74.5,40.5,393.733
118,New York,NY,6/1/2012,117.0,-74.5,40.5,392.725
119,New York,NY,7/1/2012,118.0,-74.5,40.5,391.837
120,New York,NY,8/1/2012,119.0,-74.5,40.5,391.147
121,New York,NY,9/1/2012,120.0,-74.5,40.5,390.992
122,New York,NY,10/1/2012,121.0,-74.5,40.5,391.482
123,New York,NY,11/1/2012,122.0,-74.5,40.5,392.895
124,New York,NY,12/1/2012,123.0,-74.5,40.5,394.664
125,New York,NY,1/1/2013,124.0,-74.5,40.5,394.339
126,New York,NY,2/1/2013,125.0,-74.5,40.5,394.763
127,New York,NY,3/1/2013,126.0,-74.5,40.5,395.907
128,New York,NY,4/1/2013,127.0,-74.5,40.5,395.534
129,New York,NY,5/1/2013,128.0,-74.5,40.5,395.767
130,New York,NY,6/1/2013,129.0,-74.5,40.5,395.549
131,New York,NY,7/1/2013,130.0,-74.5,40.5,394.606
132,New York,NY,8/1/2013,131.0,-74.5,40.5,393.594
133,New York,NY,9/1/2013,132.0,-74.5,40.5,394.232
134,New York,NY,10/1/2013,133.0,-74.5,40.5,394.534
135,New York,NY,11/1/2013,134.0,-74.5,40.5,395.799
136,New York,NY,12/1/2013,135.0,-74.5,40.5,395.488
137,New York,NY,1/1/2014,136.0,-74.5,40.5,396.254
138,New York,NY,2/1/2014,137.0,-74.5,40.5,397.359
139,New York,NY,3/1/2014,138.0,-74.5,40.5,397.731
140,New York,NY,4/1/2014,139.0,-74.5,40.5,397.59
141,New York,NY,5/1/2014,140.0,-74.5,40.5,397.349
142,New York,NY,6/1/2014,141.0,-74.5,40.5,397.741
143,New York,NY,7/1/2014,142.0,-74.5,40.5,395.34
144,New York,NY,8/1/2014,143.0,-74.5,40.5,394.904
145,New York,NY,9/1/2014,144.0,-74.5,40.5,395.297
146,New York,NY,10/1/2014,145.0,-74.5,40.5,395.709
147,New York,NY,11/1/2014,146.0,-74.5,40.5,397.545
148,New York,NY,12/1/2014,147.0,-74.5,40.5,398.102
149,New York,NY,1/1/2015,148.0,-74.5,40.5,398.997
150,New York,NY,2/1/2015,149.0,-74.5,40.5,399.263
151,New York,NY,3/1/2015,150.0,-74.5,40.5,398.43
152,New York,NY,4/1/2015,151.0,-74.5,40.5,399.376
153,New York,NY,5/1/2015,152.0,-74.5,40.5,399.844
154,New York,NY,6/1/2015,153.0,-74.5,40.5,398.275
155,New York,NY,7/1/2015,154.0,-74.5,40.5,398.147
156,New York,NY,8/1/2015,155.0,-74.5,40.5,397.8
157,New York,NY,9/1/2015,156.0,-74.5,40.5,397.869
158,New York,NY,10/1/2015,157.0,-74.5,40.5,399.168
159,New York,NY,11/1/2015,158.0,-74.5,40.5,400.073
160,New York,NY,12/1/2015,159.0,-74.5,40.5,399.474
161,New York,NY,1/1/2016,160.0,-74.5,40.5,401.246
162,New York,NY,2/1/2016,161.0,-74.5,40.5,401.339
163,New York,NY,3/1/2016,162.0,-74.5,40.5,401.788
164,New York,NY,4/1/2016,163.0,-74.5,40.5,401.874
165,New York,NY,5/1/2016,164.0,-74.5,40.5,401.563
166,New York,NY,6/1/2016,165.0,-74.5,40.5,402.482
167,New York,NY,7/1/2016,166.0,-74.5,40.5,401.07
168,New York,NY,8/1/2016,167.0,-74.5,40.5,400.886
169,New York,NY,9/1/2016,168.0,-74.5,40.5,400.113
170,New York,NY,10/1/2016,169.0,-74.5,40.5,400.702
171,New York,NY,11/1/2016,170.0,-74.5,40.5,401.961
172,New York,NY,12/1/2016,171.0,-74.5,40.5,402.44
173,New York,NY,1/1/2017,172.0,-74.5,40.5,402.4
174,New York,NY,2/1/2017,173.0,-74.5,40.5,403.484
175,New York,NY,3/1/2017,174.0,-74.5,40.5,404.187
176,New York,NY,4/1/2017,175.0,-74.5,40.5,404.069
177,New York,NY,5/1/2017,176.0,-74.5,40.5,403.346
178,New York,NY,6/1/2017,177.0,-74.5,40.5,403.736
179,New York,NY,7/1/2017,178.0,-74.5,40.5,402.48
180,New York,NY,8/1/2017,179.0,-74.5,40.5,401.901
181,New York,NY,9/1/2017,180.0,-74.5,40.5,402.257
182,New York,NY,10/1/2017,181.0,-74.5,40.5,403.226
183,New York,NY,11/1/2017,182.0,-74.5,40.5,404.391
184,New York,NY,12/1/2017,183.0,-74.5,40.5,404.447
185,New York,NY,1/1/2018,184.0,-74.5,40.5,404.921
186,New York,NY,2/1/2018,185.0,-74.5,40.5,404.574
187,New York,NY,3/1/2018,186.0,-74.5,40.5,405.657
188,New York,NY,4/1/2018,187.0,-74.5,40.5,405.116
189,New York,NY,5/1/2018,188.0,-74.5,40.5,406.437
190,New York,NY,6/1/2018,189.0,-74.5,40.5,405.01
191,New York,NY,7/1/2018,190.0,-74.5,40.5,405.414
192,New York,NY,8/1/2018,191.0,-74.5,40.5,404.27
193,New York,NY,9/1/2018,192.0,-74.5,40.5,403.935
194,New York,NY,10/1/2018,193.0,-74.5,40.5,404.587
195,New York,NY,11/1/2018,194.0,-74.5,40.5,405.506
196,New York,NY,12/1/2018,195.0,-74.5,40.5,406.812
197,New York,NY,1/1/2019,196.0,-74.5,40.5,406.604
198,New York,NY,2/1/2019,197.0,-74.5,40.5,408.058
199,New York,NY,3/1/2019,198.0,-74.5,40.5,407.231
200,New York,NY,4/1/2019,199.0,-74.5,40.5,406.639
201,New York,NY,5/1/2019,200.0,-74.5,40.5,408.093
202,New York,NY,6/1/2019,201.0,-74.5,40.5,408.254
203,New York,NY,7/1/2019,202.0,-74.5,40.5,407.348
204,New York,NY,8/1/2019,203.0,-74.5,40.5,407.152
205,New York,NY,9/1/2019,204.0,-74.5,40.5,407.208
206,New York,NY,10/1/2019,205.0,-74.5,40.5,407.241
207,New York,NY,11/1/2019,206.0,-74.5,40.5,408.181
208,New York,NY,12/1/2019,207.0,-74.5,40.5,408.467
209,New York,NY,1/1/2020,208.0,-74.5,40.5,409.732
210,New York,NY,2/1/2020,209.0,-74.5,40.5,408.396
211,New York,NY,3/1/2020,210.0,-74.5,40.5,409.948
212,New York,NY,4/1/2020,211.0,-74.5,40.5,408.598
213,New York,NY,5/1/2020,212.0,-74.5,40.5,409.612
214,New York,NY,6/1/2020,213.0,-74.5,40.5,410.749
215,New York,NY,7/1/2020,214.0,-74.5,40.5,410.298
216,New York,NY,8/1/2020,215.0,-74.5,40.5,409.509
217,New York,NY,9/1/2020,216.0,-74.5,40.5,408.65
218,New York,NY,10/1/2020,217.0,-74.5,40.5,409.598
219,New York,NY,11/1/2020,218.0,-74.5,40.5,411.277
220,New York,NY,12/1/2020,219.0,-74.5,40.5,410.711
221,New York,NY,1/1/2021,220.0,-74.5,40.5,410.742
222,New York,NY,2/1/2021,221.0,-74.5,40.5,411.784
223,New York,NY,3/1/2021,222.0,-74.5,40.5,412.844
224,New York,NY,4/1/2021,223.0,-74.5,40.5,412.893
225,New York,NY,5/1/2021,224.0,-74.5,40.5,411.935
226,New York,NY,6/1/2021,225.0,-74.5,40.5,413.279
227,New York,NY,7/1/2021,226.0,-74.5,40.5,410.35
228,New York,NY,8/1/2021,227.0,-74.5,40.5,410.126
229,Washington,DC,9/1/2002,0.0,-77.5,38.5,372.136
230,Washington,DC,10/1/2002,1.0,-77.5,38.5,372.362
231,Washington,DC,11/1/2002,2.0,-77.5,38.5,373.959
232,Washington,DC,12/1/2002,3.0,-77.5,38.5,374.844
233,Washington,DC,1/1/2003,4.0,-77.5,38.5,375.876
234,Washington,DC,2/1/2003,5.0,-77.5,38.5,375.537
235,Washington,DC,3/1/2003,6.0,-77.5,38.5,375.944
236,Washington,DC,4/1/2003,7.0,-77.5,38.5,376.862
237,Washington,DC,5/1/2003,8.0,-77.5,38.5,376.437
238,Washington,DC,6/1/2003,9.0,-77.5,38.5,375.718
239,Washington,DC,7/1/2003,10.0,-77.5,38.5,375.378
240,Washington,DC,8/1/2003,11.0,-77.5,38.5,374.816
241,Washington,DC,9/1/2003,12.0,-77.5,38.5,374.676
242,Washington,DC,10/1/2003,13.0,-77.5,38.5,375.192
243,Washington,DC,11/1/2003,14.0,-77.5,38.5,375.892
244,Washington,DC,12/1/2003,15.0,-77.5,38.5,377.451
245,Washington,DC,1/1/2004,16.0,-77.5,38.5,376.972
246,Washington,DC,2/1/2004,17.0,-77.5,38.5,378.099
247,Washington,DC,3/1/2004,18.0,-77.5,38.5,378.402
248,Washington,DC,4/1/2004,19.0,-77.5,38.5,379.081
249,Washington,DC,5/1/2004,20.0,-77.5,38.5,378.51
250,Washington,DC,6/1/2004,21.0,-77.5,38.5,377.883
251,Washington,DC,7/1/2004,22.0,-77.5,38.5,377.155
252,Washington,DC,8/1/2004,23.0,-77.5,38.5,376.494
253,Washington,DC,9/1/2004,24.0,-77.5,38.5,376.291
254,Washington,DC,10/1/2004,25.0,-77.5,38.5,376.95
255,Washington,DC,11/1/2004,26.0,-77.5,38.5,377.705
256,Washington,DC,12/1/2004,27.0,-77.5,38.5,378.614
257,Washington,DC,1/1/2005,28.0,-77.5,38.5,378.893
258,Washington,DC,2/1/2005,29.0,-77.5,38.5,379.351
259,Washington,DC,3/1/2005,30.0,-77.5,38.5,380.851
260,Washington,DC,4/1/2005,31.0,-77.5,38.5,380.127
261,Washington,DC,5/1/2005,32.0,-77.5,38.5,380.77
262,Washington,DC,6/1/2005,33.0,-77.5,38.5,380.102
263,Washington,DC,7/1/2005,34.0,-77.5,38.5,378.675
264,Washington,DC,8/1/2005,35.0,-77.5,38.5,378.617
265,Washington,DC,9/1/2005,36.0,-77.5,38.5,378.517
266,Washington,DC,10/1/2005,37.0,-77.5,38.5,379.306
267,Washington,DC,11/1/2005,38.0,-77.5,38.5,380.169
268,Washington,DC,12/1/2005,39.0,-77.5,38.5,381.421
269,Washington,DC,1/1/2006,40.0,-77.5,38.5,381.135
270,Washington,DC,2/1/2006,41.0,-77.5,38.5,381.941
271,Washington,DC,3/1/2006,42.0,-77.5,38.5,381.989
272,Washington,DC,4/1/2006,43.0,-77.5,38.5,383.144
273,Washington,DC,5/1/2006,44.0,-77.5,38.5,382.676
274,Washington,DC,6/1/2006,45.0,-77.5,38.5,382.473
275,Washington,DC,7/1/2006,46.0,-77.5,38.5,381.184
276,Washington,DC,8/1/2006,47.0,-77.5,38.5,381.07
277,Washington,DC,9/1/2006,48.0,-77.5,38.5,379.546
278,Washington,DC,10/1/2006,49.0,-77.5,38.5,381.058
279,Washington,DC,11/1/2006,50.0,-77.5,38.5,381.995
280,Washington,DC,12/1/2006,51.0,-77.5,38.5,382.48
281,Washington,DC,1/1/2007,52.0,-77.5,38.5,383.05
282,Washington,DC,2/1/2007,53.0,-77.5,38.5,384.141
283,Washington,DC,3/1/2007,54.0,-77.5,38.5,383.858
284,Washington,DC,4/1/2007,55.0,-77.5,38.5,383.793
285,Washington,DC,5/1/2007,56.0,-77.5,38.5,384.853
286,Washington,DC,6/1/2007,57.0,-77.5,38.5,383.469
287,Washington,DC,7/1/2007,58.0,-77.5,38.5,382.471
288,Washington,DC,8/1/2007,59.0,-77.5,38.5,382.608
289,Washington,DC,9/1/2007,60.0,-77.5,38.5,382.36
290,Washington,DC,10/1/2007,61.0,-77.5,38.5,382.855
291,Washington,DC,11/1/2007,62.0,-77.5,38.5,384.079
292,Washington,DC,12/1/2007,63.0,-77.5,38.5,383.558
293,Washington,DC,1/1/2008,64.0,-77.5,38.5,385.502
294,Washington,DC,2/1/2008,65.0,-77.5,38.5,386.213
295,Washington,DC,3/1/2008,66.0,-77.5,38.5,385.493
296,Washington,DC,4/1/2008,67.0,-77.5,38.5,386.062
297,Washington,DC,5/1/2008,68.0,-77.5,38.5,386.28
298,Washington,DC,6/1/2008,69.0,-77.5,38.5,386.327
299,Washington,DC,7/1/2008,70.0,-77.5,38.5,384.774
300,Washington,DC,8/1/2008,71.0,-77.5,38.5,384.09
301,Washington,DC,9/1/2008,72.0,-77.5,38.5,383.901
302,Washington,DC,10/1/2008,73.0,-77.5,38.5,384.79
303,Washington,DC,11/1/2008,74.0,-77.5,38.5,385.269
304,Washington,DC,12/1/2008,75.0,-77.5,38.5,386.294
305,Washington,DC,1/1/2009,76.0,-77.5,38.5,386.923
306,Washington,DC,2/1/2009,77.0,-77.5,38.5,387.837
307,Washington,DC,3/1/2009,78.0,-77.5,38.5,387.778
308,Washington,DC,4/1/2009,79.0,-77.5,38.5,387.983
309,Washington,DC,5/1/2009,80.0,-77.5,38.5,387.384
310,Washington,DC,6/1/2009,81.0,-77.5,38.5,387.485
311,Washington,DC,7/1/2009,82.0,-77.5,38.5,386.323
312,Washington,DC,8/1/2009,83.0,-77.5,38.5,386.659
313,Washington,DC,9/1/2009,84.0,-77.5,38.5,385.485
314,Washington,DC,10/1/2009,85.0,-77.5,38.5,386.724
315,Washington,DC,11/1/2009,86.0,-77.5,38.5,387.594
316,Washington,DC,12/1/2009,87.0,-77.5,38.5,388.591
317,Washington,DC,1/1/2010,88.0,-77.5,38.5,390.095
318,Washington,DC,2/1/2010,89.0,-77.5,38.5,389.217
319,Washington,DC,3/1/2010,90.0,-77.5,38.5,389.704
320,Washington,DC,4/1/2010,91.0,-77.5,38.5,390.001
321,Washington,DC,5/1/2010,92.0,-77.5,38.5,390.226
322,Washington,DC,6/1/2010,93.0,-77.5,38.5,389.826
323,Washington,DC,7/1/2010,94.0,-77.5,38.5,389.776
324,Washington,DC,8/1/2010,95.0,-77.5,38.5,388.326
325,Washington,DC,9/1/2010,96.0,-77.5,38.5,387.756
326,Washington,DC,10/1/2010,97.0,-77.5,38.5,388.393
327,Washington,DC,11/1/2010,98.0,-77.5,38.5,389.513
328,Washington,DC,12/1/2010,99.0,-77.5,38.5,390.43
329,Washington,DC,1/1/2011,100.0,-77.5,38.5,390.963
330,Washington,DC,2/1/2011,101.0,-77.5,38.5,390.449
331,Washington,DC,3/1/2011,102.0,-77.5,38.5,391.808
332,Washington,DC,4/1/2011,103.0,-77.5,38.5,390.703
333,Washington,DC,5/1/2011,104.0,-77.5,38.5,390.635
334,Washington,DC,6/1/2011,105.0,-77.5,38.5,391.382
335,Washington,DC,7/1/2011,106.0,-77.5,38.5,391.826
336,Washington,DC,8/1/2011,107.0,-77.5,38.5,389.702
337,Washington,DC,9/1/2011,108.0,-77.5,38.5,389.12
338,Washington,DC,10/1/2011,109.0,-77.5,38.5,389.95
339,Washington,DC,11/1/2011,110.0,-77.5,38.5,391.182
340,Washington,DC,12/1/2011,111.0,-77.5,38.5,391.976
341,Washington,DC,1/1/2012,112.0,-77.5,38.5,392.765
342,Washington,DC,2/1/2012,113.0,-77.5,38.5,392.741
343,Washington,DC,3/1/2012,114.0,-77.5,38.5,393.354
344,Washington,DC,4/1/2012,115.0,-77.5,38.5,393.36
345,Washington,DC,5/1/2012,116.0,-77.5,38.5,393.453
346,Washington,DC,6/1/2012,117.0,-77.5,38.5,393.611
347,Washington,DC,7/1/2012,118.0,-77.5,38.5,391.941
348,Washington,DC,8/1/2012,119.0,-77.5,38.5,391.577
349,Washington,DC,9/1/2012,120.0,-77.5,38.5,391.827
350,Washington,DC,10/1/2012,121.0,-77.5,38.5,391.761
351,Washington,DC,11/1/2012,122.0,-77.5,38.5,392.967
352,Washington,DC,12/1/2012,123.0,-77.5,38.5,393.573
353,Washington,DC,1/1/2013,124.0,-77.5,38.5,393.471
354,Washington,DC,2/1/2013,125.0,-77.5,38.5,395.314
355,Washington,DC,3/1/2013,126.0,-77.5,38.5,395.273
356,Washington,DC,4/1/2013,127.0,-77.5,38.5,395.63
357,Washington,DC,5/1/2013,128.0,-77.5,38.5,396.282
358,Washington,DC,6/1/2013,129.0,-77.5,38.5,395.357
359,Washington,DC,7/1/2013,130.0,-77.5,38.5,395.046
360,Washington,DC,8/1/2013,131.0,-77.5,38.5,394.064
361,Washington,DC,9/1/2013,132.0,-77.5,38.5,394.284
362,Washington,DC,10/1/2013,133.0,-77.5,38.5,393.701
363,Washington,DC,11/1/2013,134.0,-77.5,38.5,395.744
364,Washington,DC,12/1/2013,135.0,-77.5,38.5,395.715
365,Washington,DC,1/1/2014,136.0,-77.5,38.5,396.792
366,Washington,DC,2/1/2014,137.0,-77.5,38.5,396.793
367,Washington,DC,3/1/2014,138.0,-77.5,38.5,397.255
368,Washington,DC,4/1/2014,139.0,-77.5,38.5,397.425
369,Washington,DC,5/1/2014,140.0,-77.5,38.5,398.274
370,Washington,DC,6/1/2014,141.0,-77.5,38.5,397.839
371,Washington,DC,7/1/2014,142.0,-77.5,38.5,395.571
372,Washington,DC,8/1/2014,143.0,-77.5,38.5,395.329
373,Washington,DC,9/1/2014,144.0,-77.5,38.5,395.363
374,Washington,DC,10/1/2014,145.0,-77.5,38.5,395.576
375,Washington,DC,11/1/2014,146.0,-77.5,38.5,397.523
376,Washington,DC,12/1/2014,147.0,-77.5,38.5,397.995
377,Washington,DC,1/1/2015,148.0,-77.5,38.5,398.144
378,Washington,DC,2/1/2015,149.0,-77.5,38.5,399.406
379,Washington,DC,3/1/2015,150.0,-77.5,38.5,398.909
380,Washington,DC,4/1/2015,151.0,-77.5,38.5,398.807
381,Washington,DC,5/1/2015,152.0,-77.5,38.5,400.232
382,Washington,DC,6/1/2015,153.0,-77.5,38.5,398.582
383,Washington,DC,7/1/2015,154.0,-77.5,38.5,397.996
384,Washington,DC,8/1/2015,155.0,-77.5,38.5,397.974
385,Washington,DC,9/1/2015,156.0,-77.5,38.5,397.425
386,Washington,DC,10/1/2015,157.0,-77.5,38.5,398.911
387,Washington,DC,11/1/2015,158.0,-77.5,38.5,398.797
388,Washington,DC,12/1/2015,159.0,-77.5,38.5,399.514
389,Washington,DC,1/1/2016,160.0,-77.5,38.5,400.929
390,Washington,DC,2/1/2016,161.0,-77.5,38.5,401.76
391,Washington,DC,3/1/2016,162.0,-77.5,38.5,401.374
392,Washington,DC,4/1/2016,163.0,-77.5,38.5,401.972
393,Washington,DC,5/1/2016,164.0,-77.5,38.5,401.771
394,Washington,DC,6/1/2016,165.0,-77.5,38.5,402.238
395,Washington,DC,7/1/2016,166.0,-77.5,38.5,401.73
396,Washington,DC,8/1/2016,167.0,-77.5,38.5,400.616
397,Washington,DC,9/1/2016,168.0,-77.5,38.5,400.003
398,Washington,DC,10/1/2016,169.0,-77.5,38.5,401.368
399,Washington,DC,11/1/2016,170.0,-77.5,38.5,402.315
400,Washington,DC,12/1/2016,171.0,-77.5,38.5,402.092
401,Washington,DC,1/1/2017,172.0,-77.5,38.5,402.842
402,Washington,DC,2/1/2017,173.0,-77.5,38.5,402.965
403,Washington,DC,3/1/2017,174.0,-77.5,38.5,403.825
404,Washington,DC,4/1/2017,175.0,-77.5,38.5,403.707
405,Washington,DC,5/1/2017,176.0,-77.5,38.5,404.423
406,Washington,DC,6/1/2017,177.0,-77.5,38.5,403.563
407,Washington,DC,7/1/2017,178.0,-77.5,38.5,402.499
408,Washington,DC,8/1/2017,179.0,-77.5,38.5,401.813
409,Washington,DC,9/1/2017,180.0,-77.5,38.5,402.22
410,Washington,DC,10/1/2017,181.0,-77.5,38.5,403.158
411,Washington,DC,11/1/2017,182.0,-77.5,38.5,403.611
412,Washington,DC,12/1/2017,183.0,-77.5,38.5,403.765
413,Washington,DC,1/1/2018,184.0,-77.5,38.5,405.162
414,Washington,DC,2/1/2018,185.0,-77.5,38.5,404.426
415,Washington,DC,3/1/2018,186.0,-77.5,38.5,406.832
416,Washington,DC,4/1/2018,187.0,-77.5,38.5,406.017
417,Washington,DC,5/1/2018,188.0,-77.5,38.5,406.298
418,Washington,DC,6/1/2018,189.0,-77.5,38.5,405.399
419,Washington,DC,7/1/2018,190.0,-77.5,38.5,404.817
420,Washington,DC,8/1/2018,191.0,-77.5,38.5,404.547
421,Washington,DC,9/1/2018,192.0,-77.5,38.5,403.801
422,Washington,DC,10/1/2018,193.0,-77.5,38.5,405.211
423,Washington,DC,11/1/2018,194.0,-77.5,38.5,405.783
424,Washington,DC,12/1/2018,195.0,-77.5,38.5,406.813
425,Washington,DC,1/1/2019,196.0,-77.5,38.5,406.942
426,Washington,DC,2/1/2019,197.0,-77.5,38.5,406.366
427,Washington,DC,3/1/2019,198.0,-77.5,38.5,408.553
